computation_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
5200,181.33333333333331,-48.000000000000014,1.3333333333333333,152.53333333333333,28.8,181.33333333333331,-48.000000000000014,1.3333333333333333,152.53333333333333,28.8,577.8666666666667,-444.53333333333336,1.3333333333333333,537.3333333333334,40.53333333333333,181.33333333333331,-48.000000000000014,1.3333333333333333,152.53333333333333,28.8,181.33333333333331,-48.000000000000014,1.3333333333333333,152.53333333333333,28.8,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,136.0,-36.000000000000014,114.4,21.6,136.0,-36.000000000000014,114.4,21.6,433.40000000000003,-333.4000000000001,403.00000000000006,30.4,136.0,-36.000000000000014,114.4,21.6,136.0,-36.000000000000014,114.4,21.6
6500,108.01904761904761,-3.257142857142857,1.0476190476190477,99.7904761904762,8.22857142857143,120.48253968253968,-3.0222222222222204,1.1111111111111112,109.28253968253969,11.200000000000001,701.6952380952381,-539.7904761904763,1.619047619047619,652.4761904761906,49.21904761904762,220.1904761904762,-58.28571428571429,1.619047619047619,185.21904761904764,34.97142857142857,220.1904761904762,-58.28571428571429,1.619047619047619,185.21904761904764,34.97142857142857,2.2857142857142856,1.8571428571428572,2.4761904761904763,1.7619047619047619,4.0,1.0,4.0,1.0,4.0,1.0,101.54285714285714,-1.542857142857142,94.34285714285714,7.2,105.37142857142857,-5.371428571428569,96.57142857142857,8.8,433.40000000000003,-333.40000000000003,403.0,30.400000000000002,136.0,-36.0,114.4,21.599999999999998,136.0,-36.0,114.4,21.599999999999998
7800,112.36969696969695,-1.1142857142857203,1.1125541125541125,105.6995670995671,6.670129870129871,131.05935545935546,0.6385762385762348,1.2212602212602213,119.92515632515634,11.134199134199134,804.8857142857142,-619.1714285714285,1.8571428571428572,748.4285714285714,56.45714285714287,252.57142857142858,-66.85714285714286,1.8571428571428572,212.45714285714288,40.11428571428572,252.57142857142858,-66.85714285714286,1.8571428571428572,212.45714285714288,40.11428571428572,2.2857142857142856,1.8571428571428572,2.4761904761904763,1.7619047619047619,4.0,1.0,4.0,1.0,4.0,1.0,99.82857142857142,0.1714285714285671,94.34285714285714,5.485714285714286,104.41904761904762,-4.419047619047622,96.57142857142857,7.847619047619048,433.40000000000003,-333.40000000000003,403.0,30.400000000000006,136.0,-36.0,114.4,21.599999999999998,136.0,-36.0,114.4,21.599999999999998
9100,107.74632034632035,-1.6857142857142868,1.0606060606060606,100.97229437229437,6.7740259740259745,136.61056277056275,5.323059163059157,1.2689754689754689,124.76248196248196,11.848080808080809,887.4380952380953,-682.6761904761904,2.0476190476190474,825.190476190476,62.247619047619054,278.4761904761905,-73.71428571428572,2.0476190476190474,234.24761904761905,44.22857142857143,278.4761904761905,-73.71428571428572,2.0476190476190474,234.24761904761905,44.22857142857143,2.2857142857142856,1.8571428571428572,2.4761904761904763,1.7619047619047619,4.0,1.0,4.0,1.0,4.0,1.0,100.05714285714285,-0.0571428571428575,94.34285714285714,5.714285714285715,104.52063492063492,-4.520634920634923,96.57142857142857,7.94920634920635,433.4000000000001,-333.40000000000003,403.0,30.400000000000006,136.00000000000003,-36.000000000000014,114.4,21.6,136.00000000000003,-36.000000000000014,114.4,21.6
10400,107.4034632034632,-1.3428571428571452,1.0606060606060606,100.97229437229437,6.431168831168831,142.16271284271284,8.09702741702741,1.3220779220779222,129.96623376623376,12.196479076479076,949.3523809523809,-730.3047619047619,2.1904761904761907,882.7619047619048,66.59047619047618,297.9047619047619,-78.85714285714289,2.1904761904761907,250.5904761904762,47.31428571428572,297.9047619047619,-78.85714285714289,2.1904761904761907,250.5904761904762,47.31428571428572,2.2857142857142856,1.8571428571428572,2.4761904761904763,1.7619047619047619,4.0,1.0,4.0,1.0,4.0,1.0,99.71428571428571,0.2857142857142839,94.34285714285714,5.371428571428572,104.36825396825397,-4.368253968253973,96.57142857142857,7.7968253968253975,433.4,-333.40000000000003,403.0,30.400000000000002,136.00000000000003,-36.000000000000014,114.4,21.6,136.00000000000003,-36.000000000000014,114.4,21.6
11700,110.72489177489177,-1.0928571428571452,1.0963203463203461,104.22229437229437,6.502597402597403,147.44192400192398,8.963799903799897,1.3733525733525733,134.8798460798461,12.562077922077924,990.6285714285714,-762.0571428571428,2.2857142857142856,921.1428571428571,69.4857142857143,310.85714285714283,-82.28571428571432,2.2857142857142856,261.4857142857143,49.371428571428574,310.85714285714283,-82.28571428571432,2.2857142857142856,261.4857142857143,49.371428571428574,2.2857142857142856,1.8571428571428572,2.4761904761904763,1.7619047619047619,4.0,1.0,4.0,1.0,4.0,1.0,99.71428571428571,0.2857142857142839,94.34285714285714,5.371428571428572,104.36825396825397,-4.368253968253971,96.57142857142857,7.7968253968253975,433.40000000000003,-333.40000000000003,403.0,30.400000000000006,136.00000000000003,-36.000000000000014,114.4,21.6,136.00000000000003,-36.000000000000014,114.4,21.6
13000,108.7784632034632,-0.9321428571428595,1.0784632034632033,102.59729437229437,6.181168831168831,148.478354978355,10.405122655122652,1.3831168831168832,135.89220779220778,12.586147186147187,1011.2666666666668,-777.9333333333334,2.3333333333333335,940.3333333333334,70.93333333333334,317.3333333333333,-84.00000000000003,2.3333333333333335,266.93333333333334,50.400000000000006,317.3333333333333,-84.00000000000003,2.3333333333333335,266.93333333333334,50.400000000000006,2.142857142857143,2.142857142857143,2.4126984126984126,1.8888888888888888,4.0,1.0,4.0,1.0,4.0,1.0,99.42857142857143,0.5714285714285696,94.34285714285714,5.085714285714286,104.24126984126984,-4.241269841269845,96.57142857142857,7.66984126984127,433.40000000000003,-333.40000000000003,403.00000000000006,30.400000000000006,136.00000000000003,-36.00000000000001,114.4,21.6,136.00000000000003,-36.00000000000001,114.4,21.6
