computation_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
14000,97.33333333333333,437.4652014652014,1.0695970695970696,97.33333333333333,0.0,505.9907203907204,1258.8444444444444,3.52967032967033,417.97714285714284,88.01357753357755,767.0594548308834,54.971424342852906,1.761208104065247,718.3665498522641,48.69290497861927,505.9907203907204,1258.8444444444444,3.52967032967033,417.97714285714284,88.01357753357755,505.9907203907203,1258.8444444444447,3.52967032967033,417.97714285714284,88.01357753357755,1.0,4.0,4.0,1.0,1.9333333333333333,2.683333333333333,4.0,1.0,4.0,1.0,91.0,409.0,91.0,0.0,132.89,367.11,112.45,20.439999999999998,429.71333333333337,70.28666666666665,410.53999999999996,19.173333333333332,132.89,367.11,112.45,20.439999999999998,132.89,367.11,112.45,20.439999999999998
16000,108.33333333333333,486.9047619047619,1.1904761904761905,108.33333333333333,0.0,547.7167277167276,1370.7814407814408,3.8369963369963367,453.3095238095238,94.40720390720391,853.7476808905379,61.18394832680548,1.9602487459630316,799.5518106232391,54.19587026729884,547.7167277167276,1370.7814407814408,3.8369963369963367,453.3095238095238,94.40720390720391,547.7167277167276,1370.7814407814408,3.8369963369963367,453.3095238095238,94.40720390720391,1.0,4.0,4.0,1.0,1.9333333333333333,2.683333333333333,4.0,1.0,4.0,1.0,91.0,409.0,91.0,0.0,132.89,367.11,112.45,20.44,429.71333333333337,70.28666666666668,410.54,19.173333333333332,132.89,367.11,112.45,20.44,132.89000000000001,367.11,112.45,20.44
18000,117.0,525.8571428571429,1.2857142857142858,117.0,0.0,575.0671550671551,1451.978021978022,4.054090354090354,484.06317460317456,91.00398046398047,922.0474953617811,66.07866419294987,2.117068645640074,863.5159554730983,58.53153988868275,576.6945054945055,1451.3274725274723,4.056043956043956,478.1457142857143,98.54879120879122,576.6945054945054,1451.3274725274723,4.056043956043956,478.14571428571423,98.54879120879122,1.0,4.0,3.8857142857142857,1.022857142857143,1.9333333333333333,2.683333333333333,4.0,1.0,4.0,1.0,91.0,409.0,91.0,0.0,132.65571428571428,367.3442857142857,113.56428571428572,19.091428571428573,429.71333333333337,70.28666666666665,410.54,19.173333333333336,132.89000000000001,367.11,112.45,20.44,132.89000000000001,367.11,112.45,20.44
20000,125.0,561.8131868131868,1.3736263736263736,125.0,0.0,602.1416361416361,1526.979242979243,4.258241758241758,507.26190476190476,94.87973137973138,985.0934779506208,70.5968634540063,2.2618254761111904,922.559781488353,62.5336964622679,602.1416361416361,1526.979242979243,4.258241758241758,507.26190476190476,94.87973137973138,603.4432234432235,1525.6776556776556,4.258241758241758,501.07142857142856,102.37179487179489,1.0,4.0,3.8857142857142857,1.022857142857143,1.9333333333333333,2.683333333333333,3.8857142857142857,1.022857142857143,4.0,1.0,91.00000000000001,409.00000000000006,91.00000000000001,0.0,132.65571428571428,367.3442857142857,113.56428571428572,19.091428571428573,429.71333333333337,70.28666666666668,410.54,19.173333333333332,132.65571428571428,367.3442857142857,113.56428571428572,19.091428571428573,132.89000000000001,367.11,112.45,20.44
22000,130.66666666666666,587.2820512820513,1.435897435897436,130.66666666666666,0.0,605.3313644688645,1574.6136904761904,4.35989010989011,505.7815476190476,99.54981684981685,1029.751048951049,73.7972545972546,2.3643615643615643,964.3824915824915,65.36855736855738,605.3313644688645,1574.6136904761904,4.35989010989011,505.7815476190476,99.54981684981685,615.5615231990232,1564.3835317460318,4.35989010989011,511.6625,103.89902319902322,1.0,4.0,3.8,1.0485714285714285,1.9333333333333333,2.683333333333333,3.8,1.0485714285714285,4.0,1.0,91.0,409.0,91.0,0.0,131.04857142857142,368.9514285714286,111.39142857142858,19.65714285714286,429.71333333333337,70.28666666666668,410.53999999999996,19.173333333333332,131.04857142857142,368.9514285714286,111.39142857142858,19.65714285714286,132.89000000000001,367.10999999999996,112.45,20.44
24000,134.0,602.2637362637363,1.4725274725274724,134.0,0.0,604.6454873829873,1597.132232251875,4.402741438455724,505.30006613756615,99.34542124542125,1056.0202083630654,75.67983762269475,2.424676910391196,988.9840857555143,67.03612260755118,611.6634768009768,1595.7541056166056,4.414835164835165,511.35297619047617,100.31050061050061,621.8936355311355,1585.523946886447,4.414835164835165,517.2339285714286,104.65970695970698,1.0,4.0,3.761904761904762,1.0676190476190475,1.9333333333333333,2.683333333333333,3.8,1.0485714285714285,4.0,1.0,91.0,409.0,91.0,0.0,130.0504761904762,369.9495238095238,110.5,19.550476190476193,429.71333333333337,70.28666666666668,410.53999999999996,19.173333333333332,131.04857142857142,368.9514285714286,111.39142857142858,19.65714285714286,132.89000000000001,367.11,112.45,20.44
26000,135.0,606.7582417582418,1.4835164835164836,135.0,0.0,607.3099562474563,1605.8492390545962,4.425504389790104,507.5429232804233,99.76703296703297,1063.9009561866706,76.2446125303268,2.4427715142000856,996.3645640074212,67.53639217924933,613.5631105006105,1602.0962301587301,4.431318681318682,513.0244047619047,100.53870573870574,623.7932692307692,1591.8660714285713,4.431318681318682,518.9053571428572,104.88791208791208,1.0,4.0,3.761904761904762,1.0676190476190475,1.9333333333333333,2.683333333333333,3.8,1.0485714285714285,4.0,1.0,91.0,409.0,91.0,0.0,130.0504761904762,369.9495238095238,110.5,19.550476190476193,429.71333333333337,70.28666666666668,410.53999999999996,19.173333333333332,131.04857142857142,368.9514285714286,111.39142857142858,19.65714285714286,132.89000000000001,367.11,112.45,20.44
