memory_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
19500,128.0,-3.0,1.25,113.75,14.25,128.0,-3.0,1.25,113.75,14.25,534.0,-409.0,1.25,510.25,23.75,128.0,-3.0,1.25,113.75,14.25,128.0,-3.0,1.25,113.75,14.25,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,102.4,-2.4000000000000026,91.0,11.4,102.4,-2.4000000000000026,91.0,11.4,427.2,-327.2,408.2,19.0,102.4,-2.4000000000000026,91.0,11.4,102.4,-2.4000000000000026,91.0,11.4
23400,99.16666666666667,4.999999999999996,1.0416666666666667,94.79166666666667,4.375000000000001,121.46296296296296,12.796296296296296,1.2268518518518519,111.64351851851852,9.819444444444445,623.0,-477.16666666666674,1.4583333333333333,595.2916666666667,27.70833333333334,149.33333333333334,-3.499999999999995,1.4583333333333333,132.70833333333334,16.625000000000004,149.33333333333334,-3.499999999999995,1.4583333333333333,132.70833333333334,16.625000000000004,2.1666666666666665,1.4166666666666667,2.537037037037037,1.2314814814814814,3.0,1.0,3.0,1.0,3.0,1.0,94.9,5.099999999999995,91.0,3.9000000000000004,98.23333333333333,1.7666666666666655,91.0,7.233333333333333,427.20000000000005,-327.20000000000005,408.20000000000005,19.000000000000004,102.39999999999999,-2.3999999999999964,91.0,11.4,102.39999999999999,-2.3999999999999964,91.0,11.4
27300,98.9,5.266666666666667,1.0416666666666667,94.79166666666667,4.108333333333333,130.0827160493827,17.44814814814815,1.3132716049382718,119.50771604938272,10.575000000000001,694.2,-531.7,1.625,663.325,30.875,166.4,-3.8999999999999937,1.625,147.875,18.525000000000002,166.4,-3.8999999999999937,1.625,147.875,18.525000000000002,2.1666666666666665,1.4166666666666667,2.537037037037037,1.2314814814814814,3.0,1.0,3.0,1.0,3.0,1.0,94.63333333333333,5.366666666666666,91.0,3.6333333333333337,98.1148148148148,1.885185185185186,91.0,7.114814814814816,427.2,-327.2,408.2,19.0,102.39999999999999,-2.3999999999999964,91.0,11.400000000000002,102.39999999999999,-2.3999999999999964,91.0,11.400000000000002
31200,105.54285714285714,5.766666666666662,1.1130952380952381,101.29166666666667,4.251190476190477,139.58880070546738,19.086243386243382,1.409832451499118,128.29475308641975,11.29404761904762,747.6,-572.6,1.75,714.35,33.25,179.2,-4.200000000000003,1.75,159.25,19.95,179.2,-4.200000000000003,1.75,159.25,19.95,2.1666666666666665,1.4166666666666667,2.537037037037037,1.2314814814814814,3.0,1.0,3.0,1.0,3.0,1.0,94.63333333333333,5.366666666666662,91.0,3.6333333333333337,98.1148148148148,1.8851851851851815,91.0,7.114814814814816,427.20000000000005,-327.20000000000005,408.20000000000005,19.0,102.4,-2.4000000000000017,91.0,11.4,102.4,-2.4000000000000017,91.0,11.4
35100,109.97142857142856,6.100000000000004,1.1607142857142858,105.625,4.3464285714285715,145.92619047619047,20.178306878306877,1.4742063492063493,134.15277777777777,11.773412698412699,783.2,-599.8666666666667,1.8333333333333333,748.3666666666667,34.833333333333336,187.73333333333335,-4.400000000000001,1.8333333333333333,166.83333333333334,20.9,187.73333333333335,-4.400000000000001,1.8333333333333333,166.83333333333334,20.9,2.1666666666666665,1.4166666666666667,2.537037037037037,1.2314814814814814,3.0,1.0,3.0,1.0,3.0,1.0,94.63333333333333,5.366666666666668,91.0,3.6333333333333337,98.1148148148148,1.8851851851851849,91.0,7.114814814814815,427.20000000000005,-327.20000000000005,408.20000000000005,19.0,102.4,-2.400000000000001,91.0,11.4,102.4,-2.400000000000001,91.0,11.4
39000,105.20952380952382,6.1000000000000005,1.1130952380952381,101.29166666666667,3.9178571428571427,145.99435626102292,22.634391534391533,1.474647266313933,134.1929012345679,11.801455026455027,801.0,-613.5,1.875,765.375,35.625,192.0,-4.5,1.875,170.625,21.375,192.0,-4.5,1.875,170.625,21.375,2.0,1.6666666666666667,2.462962962962963,1.3425925925925926,3.0,1.0,3.0,1.0,3.0,1.0,94.3,5.699999999999999,91.0,3.3000000000000003,97.96666666666667,2.0333333333333323,91.0,6.966666666666667,427.2,-327.2,408.2,19.0,102.4,-2.4000000000000004,91.0,11.4,102.4,-2.4000000000000004,91.0,11.4
