memory_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
40000,93.33333333333331,419.48717948717945,1.0256410256410255,93.33333333333331,0.0,485.19658119658123,1207.111111111111,3.3846153846153846,400.8,84.39658119658121,735.5364635364634,52.71232471232471,1.6888296888296888,688.8446368446367,46.69182669182669,485.19658119658123,1207.111111111111,3.3846153846153846,400.8,84.39658119658121,485.1965811965812,1207.111111111111,3.3846153846153846,400.8,84.39658119658121,1.0,4.0,4.0,1.0,1.9333333333333333,2.683333333333333,4.0,1.0,4.0,1.0,90.99999999999999,409.0,90.99999999999999,0.0,132.89000000000001,367.11,112.45,20.44,429.71333333333337,70.28666666666668,410.53999999999996,19.173333333333332,132.89000000000001,367.11,112.45,20.44,132.89000000000001,367.11,112.45,20.44
45000,104.0,467.42857142857144,1.1428571428571426,104.0,0.0,534.4644688644688,1332.9347985347986,3.7347985347985344,441.8438095238095,92.62065934065936,819.5977736549165,58.736590393733216,1.8818387961245102,767.5697381983097,52.028035456606894,534.4644688644688,1332.9347985347986,3.7347985347985344,441.8438095238095,92.62065934065936,534.4644688644688,1332.9347985347986,3.7347985347985344,441.8438095238095,92.62065934065936,1.0,4.0,4.0,1.0,1.9333333333333333,2.683333333333333,4.0,1.0,4.0,1.0,91.00000000000001,409.00000000000006,91.00000000000001,0.0,132.89000000000001,367.10999999999996,112.45,20.44,429.7133333333334,70.28666666666666,410.54,19.173333333333332,132.89000000000001,367.10999999999996,112.45,20.44,132.89,367.11,112.45,20.44
50000,113.33333333333336,509.37728937728946,1.2454212454212454,113.33333333333336,0.0,565.6713064713065,1419.6766788766788,3.9706959706959704,468.5904761904762,97.08083028083028,893.1514200085628,64.00782286496575,2.0507217650074794,836.4542018827733,56.69721812578956,565.6713064713065,1419.6766788766788,3.9706959706959704,468.5904761904762,97.08083028083028,565.6713064713065,1419.6766788766788,3.9706959706959704,468.5904761904762,97.08083028083028,1.0,4.0,4.0,1.0,1.9333333333333333,2.683333333333333,4.0,1.0,4.0,1.0,91.0,409.0,91.0,0.0,132.89,367.11,112.45,20.44,429.71333333333337,70.28666666666668,410.53999999999996,19.173333333333332,132.89,367.11,112.45,20.44,132.89,367.11,112.45,20.44
60000,128.0,575.2967032967033,1.4065934065934065,128.0,0.0,613.0021978021979,1557.4495726495727,4.3409035409035415,518.2907936507936,94.71140415140415,1008.7357214214358,72.29118817690245,2.3161092875378593,944.7012162440734,64.03450517736233,613.4090354090354,1557.2869352869354,4.341391941391942,516.8114285714286,96.59760683760683,614.7106227106227,1555.985347985348,4.341391941391942,510.62095238095236,104.08967032967034,1.0,4.0,3.857142857142857,1.0285714285714285,1.9333333333333333,2.683333333333333,3.8857142857142857,1.022857142857143,4.0,1.0,91.0,409.0,91.0,0.0,132.59714285714287,367.40285714285716,113.84285714285714,18.754285714285714,429.71333333333337,70.28666666666668,410.54,19.173333333333332,132.65571428571428,367.3442857142857,113.56428571428572,19.091428571428573,132.89000000000001,367.11,112.45,20.44
65000,133.0,597.7692307692308,1.4615384615384615,133.0,0.0,614.9255036630036,1600.8559371184372,4.431562881562881,515.6961507936508,99.22935286935288,1048.1394605394605,75.11506271506272,2.406582306582307,981.6036075036075,66.53585303585304,615.3323412698413,1600.6932997557997,4.432051282051282,514.2167857142857,101.11555555555556,625.5625,1590.463141025641,4.432051282051282,520.097738095238,105.46476190476191,1.0,4.0,3.7714285714285714,1.0542857142857143,1.9333333333333333,2.683333333333333,3.8,1.0485714285714285,4.0,1.0,91.0,409.0,91.0,0.0,130.99,369.01000000000005,111.67,19.32,429.71333333333337,70.28666666666666,410.53999999999996,19.173333333333332,131.04857142857142,368.9514285714286,111.39142857142858,19.65714285714286,132.89,367.11,112.45,20.44
70000,136.66666666666666,614.2490842490843,1.5018315018315016,136.66666666666666,0.0,618.1268874643874,1624.6183302808304,4.483862433862433,518.607791005291,99.51909645909646,1077.0355358926788,77.18590404304686,2.4729291872149015,1008.6653610939325,68.37017479874623,622.2976648351648,1623.9477564102565,4.4924908424908425,520.3453571428571,101.9523076923077,632.5278235653235,1613.7175976800977,4.4924908424908425,526.2263095238095,106.30151404151405,1.0,4.0,3.7523809523809524,1.0638095238095238,1.9333333333333333,2.683333333333333,3.8,1.0485714285714285,4.0,1.0,91.0,409.0,91.0,0.0,130.49095238095236,369.5090476190476,111.22428571428571,19.266666666666666,429.71333333333337,70.28666666666665,410.54,19.173333333333336,131.04857142857142,368.9514285714286,111.39142857142858,19.65714285714286,132.89,367.11,112.45,20.44
75000,139.0,624.7362637362637,1.5274725274725276,139.0,0.0,616.8161019536019,1643.5318833943834,4.5206959706959715,517.4072619047619,99.40884004884006,1095.4239474810904,78.50371216085502,2.5151499294356436,1025.8864770150485,69.5374704660419,626.7301434676434,1638.746047008547,4.530952380952381,524.2453571428571,102.48478632478634,636.9603021978022,1628.5158882783883,4.530952380952381,530.1263095238095,106.83399267399268,1.0,4.0,3.7142857142857144,1.082857142857143,1.9333333333333333,2.683333333333333,3.8,1.0485714285714285,4.0,1.0,91.0,409.0,91.0,0.0,129.49285714285713,370.50714285714287,110.33285714285715,19.16,429.71333333333337,70.28666666666668,410.53999999999996,19.173333333333332,131.04857142857142,368.9514285714286,111.39142857142858,19.65714285714286,132.89,367.10999999999996,112.45,20.44
