profit_per_user,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
400,121.04761904761905,411.0298273155416,1.3301936159079017,121.04761904761905,0.0,577.2393096982382,1071.3809589220305,4.121550671550672,482.1146315192744,95.1246781789639,1544.1394233884032,-137.93474371433558,3.515511699185169,1419.3862649821833,124.75315840621964,580.4430773591487,1070.2424276120705,4.126713762428048,483.83617346938775,96.60690388976104,585.0133721437293,1065.67213282749,4.126713762428048,485.4722278911565,99.54114425257283,1.0,4.0,3.8653061224489798,1.0355102040816326,3.4,1.15,3.8979591836734695,1.0240816326530613,4.0,1.0,91.0,309.0,91.0,0.0,131.6061224489796,268.3938775510204,111.93265306122449,19.6734693877551,437.15999999999997,-37.160000000000004,404.04,33.120000000000005,132.0673469387755,267.93265306122447,112.15551020408162,19.91183673469388,132.89,267.11,112.45,20.44
500,121.04761904761905,544.0491889063318,1.3301936159079017,121.04761904761905,0.0,578.8524267399267,1483.6671964939824,4.125039246467818,483.49331632653065,95.35911041339612,764.3373134801706,98.27309198737771,1.7252208109350966,707.4211502782931,56.91616320187749,580.4430773591487,1482.9138038548754,4.126713762428048,483.83617346938775,96.60690388976104,585.0133721437293,1478.3435090702949,4.126713762428048,485.4722278911565,99.54114425257283,1.0,4.0,3.873469387755102,1.0314285714285714,1.4,2.9,3.8979591836734695,1.0240816326530613,4.0,1.0,91.0,409.00000000000006,91.0,0.0,131.82,368.18,112.12367346938775,19.696326530612247,435.98,64.02000000000001,411.58000000000004,24.4,132.0673469387755,367.93265306122447,112.15551020408162,19.91183673469388,132.89,367.11,112.45,20.44
600,121.04761904761905,677.0685504971219,1.3301936159079017,121.04761904761905,0.0,578.8524267399267,1896.171121140764,4.125039246467818,483.49331632653065,95.35911041339612,553.3605442176871,244.75562532705388,1.3301936159079017,553.3605442176871,0.0,580.4430773591487,1895.58518009768,4.126713762428048,483.83617346938775,96.60690388976104,585.0133721437293,1891.0148853130995,4.126713762428048,485.4722278911565,99.54114425257283,1.0,4.0,3.873469387755102,1.0314285714285714,1.0,4.0,3.8979591836734695,1.0240816326530613,4.0,1.0,91.0,509.0,91.0,0.0,131.82,468.17999999999995,112.12367346938775,19.696326530612247,416.0,184.0,416.0,0.0,132.0673469387755,467.93265306122447,112.15551020408162,19.91183673469388,132.89,467.11,112.45,20.44
