module_count,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
2,121.04761904761905,544.0491889063318,1.3301936159079015,121.04761904761905,0.0,206.18001046572476,902.3146694575265,2.2169893598465027,201.74603174603172,4.433978719693005,676.0339554625269,107.30228501657074,1.6257921972207685,668.6439909297053,7.389964532821676,206.18001046572476,902.3146694575265,2.2169893598465027,201.74603174603172,4.433978719693005,206.18001046572476,902.3146694575265,2.2169893598465027,201.74603174603172,4.433978719693005,1.0,2.0,2.0,1.0,1.3333333333333333,1.6666666666666667,2.0,1.0,2.0,1.0,91.0,409.0,91.0,0.0,93.0,407.0,91.0,2.0,415.8666666666667,84.13333333333334,412.53333333333336,3.3333333333333335,93.0,407.0,91.0,2.0,93.0,407.0,91.0,2.0
3,121.04761904761905,544.0491889063318,1.3301936159079015,121.04761904761905,0.0,340.52956567242285,1322.2124542124543,3.325484039769754,302.6190476190476,37.9105180533752,842.455956741671,88.67957439386012,1.9952904238618525,821.3945578231293,21.06139891854178,340.52956567242285,1322.2124542124543,3.325484039769754,302.6190476190476,37.9105180533752,340.52956567242285,1322.2124542124543,3.325484039769754,302.6190476190476,37.9105180533752,1.0,3.0,3.0,1.0,1.6666666666666667,2.3333333333333335,3.0,1.0,3.0,1.0,91.0,409.0,91.0,0.0,102.39999999999999,397.59999999999997,91.0,11.4,419.73333333333335,80.26666666666667,413.40000000000003,6.333333333333334,102.39999999999999,397.59999999999997,91.0,11.4,102.39999999999999,397.59999999999997,91.0,11.4
4,121.04761904761905,544.0491889063318,1.3301936159079015,121.04761904761905,0.0,603.0211058782487,1613.968253968254,4.433978719693005,507.24716553287976,95.77394034536893,1009.4691551834409,69.46566660852373,2.3647886505029363,964.5381708238853,44.930984359555794,603.0211058782487,1613.968253968254,4.433978719693005,507.24716553287976,95.77394034536893,603.0211058782487,1613.968253968254,4.433978719693005,507.24716553287976,95.77394034536893,1.0,4.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,91.0,409.0,91.0,0.0,136.0,364.0,114.39999999999999,21.6,421.8,78.2,411.6666666666667,10.133333333333335,136.0,364.0,114.39999999999999,21.6,136.0,364.0,114.39999999999999,21.6
5,121.04761904761905,544.0491889063318,1.3301936159079015,121.04761904761905,0.0,851.3968799058085,1740.3744440083724,5.183542647828363,704.184268707483,147.21261119832548,1088.0139210751456,54.263453855290585,2.4492453880208984,993.0845481049563,94.92937297018929,851.3968799058085,1740.3744440083724,5.183542647828363,704.184268707483,147.21261119832548,851.3968799058084,1740.3744440083726,5.183542647828363,704.1842687074829,147.21261119832548,1.0,5.0,5.0,1.0,2.3333333333333335,2.9166666666666665,5.0,1.0,5.0,1.0,91.0,409.0,91.0,0.0,164.25,335.75,135.85,28.400000000000002,439.96666666666664,60.03333333333333,407.76666666666665,32.2,164.25,335.75,135.85,28.400000000000002,164.25,335.75,135.85,28.400000000000002
6,121.04761904761905,544.0491889063318,1.3301936159079015,121.04761904761905,0.0,890.4460433746146,1839.828972614687,5.459387173672888,699.3722600151171,191.07378335949767,1153.75581334765,22.112309459248202,2.516426883773822,1019.2853314485967,134.4704818990533,901.0878248735391,1835.699197627769,5.473574045002617,703.3843537414966,197.70347113204258,923.9392987964416,1812.8477237048664,5.473574045002617,711.5646258503401,212.37467294610153,1.0,6.0,5.35374149659864,1.1639455782312924,2.3333333333333335,3.5,5.489795918367347,1.120408163265306,6.0,1.0,91.0,409.0,91.0,0.0,163.093537414966,336.90646258503403,128.04999999999998,35.04353741496599,451.2,48.79999999999999,407.3333333333333,43.86666666666667,164.68673469387753,335.31326530612245,128.52755102040817,36.15918367346939,168.79999999999998,331.2,130.0,38.800000000000004
