profit_per_user,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
0,93.2144,-93.2144,1.0,91.0,2.2144,93.2144,-93.2144,1.0,91.0,2.2144,890.2152000000001,-890.2152000000001,2.064,814.4760000000001,75.73920000000001,295.796,-295.796,2.064,243.5784,52.217600000000004,298.82880000000006,-298.82880000000006,2.064,245.98080000000002,52.848,1.96,2.08,1.96,2.08,3.88,1.05,3.808,1.086,4.0,1.0,93.2144,-93.2144,91.0,2.2144,93.2144,-93.2144,91.0,2.2144,429.05760000000004,-429.05760000000004,398.69440000000003,30.3632,130.7784,-130.7784,111.2488,19.529600000000002,132.89,-132.89,112.45000000000002,20.44
50,93.2144,-43.214400000000005,1.0,91.0,2.2144,93.2144,-43.214400000000005,1.0,91.0,2.2144,890.2152000000001,-787.0152,2.064,814.4760000000001,75.73920000000001,295.796,-192.596,2.064,243.5784,52.217600000000004,298.82880000000006,-195.62880000000004,2.064,245.98080000000002,52.848,1.96,2.08,1.96,2.08,3.88,1.05,3.808,1.086,4.0,1.0,93.2144,-43.214400000000005,91.0,2.2144,93.2144,-43.214400000000005,91.0,2.2144,429.05760000000004,-379.05760000000004,398.69440000000003,30.3632,130.7784,-80.7784,111.2488,19.529600000000002,132.89,-82.89000000000001,112.45000000000002,20.44
100,93.2144,6.785599999999999,1.0,91.0,2.2144,93.2144,6.785599999999999,1.0,91.0,2.2144,890.2152000000001,-683.8152000000001,2.064,814.4760000000001,75.73920000000001,295.796,-89.39600000000002,2.064,243.5784,52.217600000000004,298.82880000000006,-92.42880000000004,2.064,245.98080000000002,52.848,1.96,2.08,1.96,2.08,3.88,1.05,3.808,1.086,4.0,1.0,93.2144,6.785599999999999,91.0,2.2144,93.2144,6.785599999999999,91.0,2.2144,429.05760000000004,-329.05760000000004,398.69440000000003,30.3632,130.7784,-30.7784,111.2488,19.529600000000002,132.89,-32.890000000000015,112.45000000000002,20.44
150,93.2144,56.785599999999995,1.0,91.0,2.2144,129.8288,65.7712,1.304,118.664,11.164800000000001,890.2152000000001,-580.6152000000001,2.064,814.4760000000001,75.73920000000001,295.796,13.803999999999997,2.064,243.5784,52.217600000000004,298.82880000000006,10.771199999999968,2.064,245.98080000000002,52.848,1.96,2.08,2.28,1.776,3.88,1.05,3.808,1.086,4.0,1.0,93.2144,56.785599999999995,91.0,2.2144,97.3792,52.6208,91.0,6.379200000000001,429.05760000000004,-279.05760000000004,398.69440000000003,30.3632,130.7784,19.2216,111.2488,19.529600000000002,132.89,17.10999999999999,112.45000000000002,20.44
200,93.2144,106.7856,1.0,91.0,2.2144,164.62079999999997,134.57920000000001,1.496,145.6832,18.937600000000003,890.2152000000001,-477.4152000000001,2.064,814.4760000000001,75.73920000000001,295.796,117.004,2.064,243.5784,52.217600000000004,298.82880000000006,113.97119999999997,2.064,245.98080000000002,52.848,1.96,2.08,2.64,1.6,3.88,1.05,3.808,1.086,4.0,1.0,93.2144,106.7856,91.0,2.2144,105.30560000000001,94.69439999999999,95.4928,9.812800000000001,429.05760000000004,-229.0576,398.69440000000003,30.3632,130.7784,69.2216,111.2488,19.529600000000002,132.89,67.10999999999999,112.45000000000002,20.44
250,93.2144,156.78560000000002,1.0,91.0,2.2144,262.8776,223.1224,1.944,217.4952,45.382400000000004,890.2152000000001,-374.2152000000001,2.064,814.4760000000001,75.73920000000001,295.796,220.204,2.064,243.5784,52.217600000000004,298.82880000000006,217.17119999999994,2.064,245.98080000000002,52.848,1.96,2.08,3.512,1.1846666666666668,3.88,1.05,3.808,1.086,4.0,1.0,93.2144,156.78560000000002,91.0,2.2144,124.30160000000001,125.69839999999999,106.19439999999999,18.107200000000002,429.05760000000004,-179.0576,398.69440000000003,30.3632,130.7784,119.22160000000001,111.2488,19.529600000000002,132.89,117.10999999999999,112.45000000000002,20.44
300,93.2144,206.78560000000002,1.0,91.0,2.2144,295.796,323.404,2.064,243.5784,52.217600000000004,890.2152000000001,-271.01520000000005,2.064,814.4760000000001,75.73920000000001,295.796,323.404,2.064,243.5784,52.217600000000004,298.82880000000006,320.37119999999993,2.064,245.98080000000002,52.848,1.96,2.08,3.808,1.086,3.88,1.05,3.808,1.086,4.0,1.0,93.2144,206.78560000000002,91.0,2.2144,130.7784,169.2216,111.2488,19.529600000000002,429.05760000000004,-129.0576,398.69440000000003,30.3632,130.7784,169.2216,111.2488,19.529600000000002,132.89,167.11,112.45000000000002,20.44
350,93.2144,256.7856,1.0,91.0,2.2144,295.796,426.604,2.064,243.5784,52.217600000000004,890.2152000000001,-167.81520000000003,2.064,814.4760000000001,75.73920000000001,295.796,426.604,2.064,243.5784,52.217600000000004,298.82880000000006,423.5712,2.064,245.98080000000002,52.848,1.96,2.08,3.808,1.086,3.88,1.05,3.808,1.086,4.0,1.0,93.2144,256.7856,91.0,2.2144,130.7784,219.2216,111.2488,19.529600000000002,429.05760000000004,-79.05760000000002,398.69440000000003,30.3632,130.7784,219.2216,111.2488,19.529600000000002,132.89,217.11,112.45000000000002,20.44
400,93.2144,306.7856,1.0,91.0,2.2144,295.796,529.804,2.064,243.5784,52.217600000000004,800.7808,-67.98080000000003,1.832,730.3088,70.472,295.796,529.804,2.064,243.5784,52.217600000000004,298.82880000000006,526.7711999999999,2.064,245.98080000000002,52.848,1.96,2.08,3.808,1.086,3.36,1.246,3.808,1.086,4.0,1.0,93.2144,306.7856,91.0,2.2144,130.7784,269.22159999999997,111.2488,19.529600000000002,435.1256,-35.12560000000001,401.908,33.2176,130.7784,269.22159999999997,111.2488,19.529600000000002,132.89,267.11,112.45000000000002,20.44
