module_count,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
2,92.92,107.08,1.0,91.0,1.92,92.92,107.08,1.0,91.0,1.92,415.61600000000004,-215.616,1.0,406.016,9.6,92.92,107.08,1.0,91.0,1.92,93.0,107.0,1.0,91.0,2.0,1.96,1.04,1.96,1.04,1.96,1.04,1.96,1.04,2.0,1.0,92.92,107.08,91.0,1.92,92.92,107.08,91.0,1.92,415.61600000000004,-215.616,406.016,9.6,92.92,107.08,91.0,1.92,93.0,107.0,91.0,2.0
3,93.06400000000001,106.93599999999999,1.0,91.0,2.064,119.94933333333334,146.05066666666667,1.24,112.84,7.109333333333334,581.8320000000001,-309.83200000000005,1.36,555.152,26.68,133.392,138.608,1.36,123.76,9.632000000000001,139.264,132.736,1.36,123.76,15.504,1.96,1.56,2.2266666666666666,1.4,2.72,1.14,2.36,1.32,3.0,1.0,93.06400000000001,106.93599999999999,91.0,2.064,95.37333333333333,104.62666666666667,91.0,4.373333333333333,428.0400000000001,-228.04000000000002,408.20000000000005,19.84,96.52799999999999,103.47200000000001,91.0,5.528,102.4,97.6,91.0,11.4
4,93.17600000000002,106.82400000000001,1.0,91.0,2.176,205.64622222222224,189.46488888888888,1.6577777777777778,178.62577777777778,27.020444444444447,936.144,-504.14399999999995,2.16,870.48,65.66400000000002,293.76,138.24,2.16,247.104,46.656,293.76,138.24,2.16,247.104,46.656,1.96,2.08,3.102222222222222,1.4666666666666666,4.0,1.0,4.0,1.0,4.0,1.0,93.17600000000002,106.82400000000001,91.0,2.176,116.96444444444444,83.03555555555556,103.89600000000002,13.068444444444445,433.4,-233.4,403.0,30.400000000000006,136.0,64.0,114.4,21.6,136.0,64.0,114.4,21.6
5,93.4,106.6,1.0,91.0,2.4000000000000004,222.08622222222223,185.2471111111111,1.6666666666666667,189.38400000000001,32.702222222222225,1002.7386666666667,-556.5164444444445,2.3155555555555556,922.1217777777778,80.61688888888888,384.988,95.01199999999999,2.4,314.028,70.96000000000001,394.20000000000005,85.79999999999994,2.4,326.0400000000001,68.16,1.96,2.6,3.2044444444444444,1.8548148148148147,4.52,1.1566666666666667,4.72,1.07,5.0,1.0,93.4,106.6,91.0,2.4000000000000004,121.58755555555555,78.41244444444445,106.66933333333333,14.918222222222225,434.628,-234.62800000000001,398.68399999999997,35.944,159.644,40.355999999999995,129.844,29.800000000000004,164.25000000000003,35.74999999999997,135.85000000000002,28.4
6,93.512,106.488,1.0,91.0,2.512,317.3751111111111,246.40266666666665,2.1777777777777776,253.4711111111111,63.904,1465.0595555555556,-802.8373333333334,3.3555555555555556,1271.8506666666667,193.20888888888888,573.92,106.08,3.4,442.0,131.92000000000002,573.9200000000001,106.07999999999994,3.4,442.00000000000006,131.92000000000002,1.96,3.12,3.8044444444444445,2.048888888888889,5.911111111111111,1.0222222222222221,6.0,1.0,6.0,1.0,93.512,106.488,91.0,2.512,128.13511111111112,71.86488888888888,107.12,21.015111111111114,436.9751111111112,-236.97511111111115,379.3573333333334,57.617777777777775,168.8,31.200000000000003,130.0,38.8,168.80000000000004,31.199999999999974,130.00000000000003,38.8
