memory_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
23400,93.48,106.52,1.0,91.0,2.48,170.86222222222221,149.13777777777779,1.3777777777777778,148.95111111111112,21.91111111111111,765.4155555555556,-414.30444444444447,1.7777777777777777,700.9311111111111,64.48444444444445,258.66,101.34,1.8,214.5,44.16,260.46000000000004,99.53999999999996,1.8,214.50000000000003,45.96,2.0,2.0,2.8444444444444446,1.5777777777777777,3.933333333333333,1.0333333333333334,3.8,1.1,4.0,1.0,93.48,106.52,91.0,2.48,111.14222222222222,88.85777777777778,101.05333333333333,10.088888888888889,428.4822222222222,-228.48222222222222,398.52222222222224,29.96,131.09,68.91,112.45,18.64,132.89000000000001,67.10999999999999,112.45000000000002,20.44
27300,93.352,106.648,1.0,91.0,2.3520000000000003,169.07733333333334,152.70044444444443,1.3955555555555557,145.43822222222224,23.639111111111113,772.3720000000001,-421.26088888888887,1.7777777777777777,703.5888888888888,68.78311111111111,253.332,106.66799999999999,1.8,207.636,45.696000000000005,260.46000000000004,99.53999999999996,1.8,214.50000000000003,45.96,2.0,2.0,2.7555555555555555,1.5777777777777777,3.631111111111111,1.1355555555555557,3.64,1.14,4.0,1.0,93.352,106.648,91.0,2.3520000000000003,110.03288888888889,89.96711111111111,98.83466666666666,11.198222222222224,432.00755555555554,-232.00755555555557,399.6084444444445,32.39911111111111,128.394,71.606,109.018,19.376,132.89000000000001,67.10999999999999,112.45000000000002,20.44
31200,93.25600000000001,106.744,1.0,91.0,2.2560000000000002,199.4486666666667,183.66244444444445,1.6088888888888888,171.37755555555555,28.071111111111115,922.236,-499.12488888888896,2.137777777777778,843.6768888888889,78.55911111111112,310.662,121.338,2.16,255.606,55.056000000000004,312.71400000000006,119.28599999999996,2.16,257.322,55.392,2.0,2.0,2.928888888888889,1.4977777777777779,3.871111111111111,1.0477777777777777,3.88,1.05,4.0,1.0,93.25600000000001,106.744,91.0,2.2560000000000002,111.3228888888889,88.6771111111111,99.90066666666667,11.422222222222222,429.29955555555557,-229.2995555555556,398.7937777777778,30.50577777777778,131.49599999999998,68.504,111.592,19.904000000000003,132.89000000000001,67.10999999999999,112.45,20.44
35100,93.19200000000001,106.80799999999999,1.0,91.0,2.192,206.38733333333334,191.39044444444443,1.6622222222222223,177.27088888888886,29.116444444444447,953.5106666666668,-517.9551111111111,2.2088888888888887,873.212888888889,80.29777777777778,321.542,126.458,2.24,264.75800000000004,56.784000000000006,323.59400000000005,124.40599999999996,2.24,266.474,57.120000000000005,2.0,2.0,2.937777777777778,1.491851851851852,3.8533333333333335,1.0522222222222222,3.88,1.05,4.0,1.0,93.19200000000001,106.80799999999999,91.0,2.192,111.346,88.65400000000001,99.90066666666667,11.445333333333334,429.46400000000006,-229.46400000000003,399.0133333333333,30.45066666666667,131.496,68.504,111.592,19.904000000000003,132.89000000000001,67.10999999999999,112.45000000000002,20.440000000000005
39000,92.792,107.208,1.0,91.0,1.7920000000000003,212.20133333333334,197.3542222222222,1.6977777777777778,182.2831111111111,29.918222222222223,987.856,-536.3004444444445,2.2888888888888888,904.2106666666667,83.64533333333334,334.78400000000005,129.21599999999998,2.32,275.392,59.392,336.91600000000005,127.08399999999997,2.32,277.108,59.80800000000001,1.8,2.4,2.831111111111111,1.6651851851851853,3.8222222222222224,1.09,3.84,1.09,4.0,1.0,92.792,107.208,91.0,1.7920000000000003,111.13644444444445,88.86355555555555,99.996,11.140444444444446,429.4057777777778,-229.40577777777779,399.3195555555556,30.086222222222226,131.416,68.584,111.592,19.824,132.89000000000001,67.10999999999999,112.45000000000002,20.44
