profit_per_user,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
0,121.85925925925926,-121.85925925925926,1.0,103.51851851851852,18.34074074074074,121.85925925925926,-121.85925925925926,1.0,103.51851851851852,18.34074074074074,984.8111111111112,-984.8111111111112,2.259259259259259,854.6777777777779,130.13333333333333,381.36296296296297,-381.36296296296297,2.259259259259259,293.7037037037037,87.65925925925927,381.36296296296297,-381.36296296296297,2.259259259259259,293.7037037037037,87.65925925925927,3.3580246913580245,2.1790123456790123,3.3580246913580245,2.1790123456790123,6.0,1.0,6.0,1.0,6.0,1.0,121.85925925925926,-121.85925925925926,103.51851851851852,18.34074074074074,121.85925925925926,-121.85925925925926,103.51851851851852,18.34074074074074,435.90000000000003,-435.90000000000003,378.3,57.6,168.8,-168.8,130.0,38.800000000000004,168.8,-168.8,130.0,38.800000000000004
25,121.85925925925926,-96.85925925925926,1.0,103.51851851851852,18.34074074074074,121.85925925925926,-96.85925925925926,1.0,103.51851851851852,18.34074074074074,984.8111111111112,-928.3296296296297,2.259259259259259,854.6777777777779,130.13333333333333,381.36296296296297,-324.8814814814815,2.259259259259259,293.7037037037037,87.65925925925927,381.36296296296297,-324.8814814814815,2.259259259259259,293.7037037037037,87.65925925925927,3.3580246913580245,2.1790123456790123,3.3580246913580245,2.1790123456790123,6.0,1.0,6.0,1.0,6.0,1.0,121.85925925925926,-96.85925925925926,103.51851851851852,18.34074074074074,121.85925925925926,-96.85925925925926,103.51851851851852,18.34074074074074,435.90000000000003,-410.90000000000003,378.3,57.6,168.8,-143.8,130.0,38.800000000000004,168.8,-143.8,130.0,38.800000000000004
50,121.85925925925926,-71.85925925925926,1.0,103.51851851851852,18.34074074074074,121.85925925925926,-71.85925925925926,1.0,103.51851851851852,18.34074074074074,984.8111111111112,-871.8481481481483,2.259259259259259,854.6777777777779,130.13333333333333,381.36296296296297,-268.40000000000003,2.259259259259259,293.7037037037037,87.65925925925927,381.36296296296297,-268.40000000000003,2.259259259259259,293.7037037037037,87.65925925925927,3.3580246913580245,2.1790123456790123,3.3580246913580245,2.1790123456790123,6.0,1.0,6.0,1.0,6.0,1.0,121.85925925925926,-71.85925925925926,103.51851851851852,18.34074074074074,121.85925925925926,-71.85925925925926,103.51851851851852,18.34074074074074,435.90000000000003,-385.9000000000001,378.3,57.6,168.8,-118.8,130.0,38.800000000000004,168.8,-118.80000000000001,130.0,38.800000000000004
75,121.85925925925926,-46.85925925925926,1.0,103.51851851851852,18.34074074074074,121.85925925925926,-46.85925925925926,1.0,103.51851851851852,18.34074074074074,984.8111111111112,-815.3666666666668,2.259259259259259,854.6777777777779,130.13333333333333,381.36296296296297,-211.91851851851854,2.259259259259259,293.7037037037037,87.65925925925927,381.36296296296297,-211.91851851851854,2.259259259259259,293.7037037037037,87.65925925925927,3.3580246913580245,2.1790123456790123,3.3580246913580245,2.1790123456790123,6.0,1.0,6.0,1.0,6.0,1.0,121.85925925925926,-46.85925925925926,103.51851851851852,18.34074074074074,121.85925925925926,-46.85925925925926,103.51851851851852,18.34074074074074,435.90000000000003,-360.9000000000001,378.3,57.6,168.8,-93.8,130.0,38.800000000000004,168.8,-93.8,130.0,38.800000000000004
100,121.85925925925926,-21.85925925925926,1.0,103.51851851851852,18.34074074074074,127.49135802469135,-21.31851851851852,1.0617283950617284,109.1358024691358,18.355555555555554,984.8111111111112,-758.8851851851854,2.259259259259259,854.6777777777779,130.13333333333333,381.36296296296297,-155.43703703703704,2.259259259259259,293.7037037037037,87.65925925925927,381.36296296296297,-155.43703703703704,2.259259259259259,293.7037037037037,87.65925925925927,3.3580246913580245,2.1790123456790123,3.3703703703703702,2.1419753086419755,6.0,1.0,6.0,1.0,6.0,1.0,121.85925925925926,-21.85925925925926,103.51851851851852,18.34074074074074,121.70123456790122,-21.70123456790124,103.51851851851852,18.182716049382716,435.90000000000003,-335.9000000000001,378.3,57.6,168.8,-68.8,130.0,38.800000000000004,168.8,-68.80000000000001,130.0,38.800000000000004
125,121.85925925925926,3.14074074074074,1.0,103.51851851851852,18.34074074074074,135.50617283950618,6.469135802469136,1.1358024691358024,115.87654320987654,19.62962962962963,984.8111111111112,-702.4037037037039,2.259259259259259,854.6777777777779,130.13333333333333,381.36296296296297,-98.95555555555556,2.259259259259259,293.7037037037037,87.65925925925927,381.36296296296297,-98.95555555555558,2.259259259259259,293.7037037037037,87.65925925925927,3.3580246913580245,2.1790123456790123,3.3703703703703702,2.1419753086419755,6.0,1.0,6.0,1.0,6.0,1.0,121.85925925925926,3.14074074074074,103.51851851851852,18.34074074074074,122.44197530864197,2.5580246913580247,103.51851851851852,18.923456790123456,435.90000000000003,-310.9000000000001,378.3,57.6,168.8,-43.800000000000004,130.0,38.800000000000004,168.8,-43.80000000000001,130.0,38.800000000000004
150,121.85925925925926,28.140740740740736,1.0,103.51851851851852,18.34074074074074,155.84382716049384,36.285802469135795,1.2808641975308641,129.07716049382717,26.766666666666666,984.8111111111112,-645.9222222222223,2.259259259259259,854.6777777777779,130.13333333333333,381.36296296296297,-42.47407407407409,2.259259259259259,293.7037037037037,87.65925925925927,381.36296296296297,-42.47407407407409,2.259259259259259,293.7037037037037,87.65925925925927,3.3580246913580245,2.1790123456790123,3.814814814814815,1.6975308641975309,6.0,1.0,6.0,1.0,6.0,1.0,121.85925925925926,28.140740740740736,103.51851851851852,18.34074074074074,126.3530864197531,23.646913580246913,103.51851851851852,22.834567901234568,435.90000000000003,-285.9000000000001,378.3,57.6,168.8,-18.800000000000004,130.0,38.800000000000004,168.8,-18.80000000000001,130.0,38.800000000000004
175,121.85925925925926,53.14074074074074,1.0,103.51851851851852,18.34074074074074,155.84382716049384,68.3074074074074,1.2808641975308641,129.07716049382717,26.766666666666666,984.8111111111112,-589.4407407407408,2.259259259259259,854.6777777777779,130.13333333333333,381.36296296296297,14.007407407407396,2.259259259259259,293.7037037037037,87.65925925925927,381.36296296296297,14.007407407407387,2.259259259259259,293.7037037037037,87.65925925925927,3.3580246913580245,2.1790123456790123,3.814814814814815,1.6975308641975309,6.0,1.0,6.0,1.0,6.0,1.0,121.85925925925926,53.14074074074074,103.51851851851852,18.34074074074074,126.3530864197531,48.64691358024691,103.51851851851852,22.834567901234568,435.90000000000003,-260.9000000000001,378.3,57.6,168.8,6.199999999999995,130.0,38.800000000000004,168.8,6.199999999999988,130.0,38.800000000000004
200,121.85925925925926,78.14074074074074,1.0,103.51851851851852,18.34074074074074,155.84382716049384,100.329012345679,1.2808641975308641,129.07716049382717,26.766666666666666,984.8111111111112,-532.9592592592593,2.259259259259259,854.6777777777779,130.13333333333333,381.36296296296297,70.48888888888887,2.259259259259259,293.7037037037037,87.65925925925927,381.36296296296297,70.48888888888887,2.259259259259259,293.7037037037037,87.65925925925927,3.3580246913580245,2.1790123456790123,3.814814814814815,1.6975308641975309,6.0,1.0,6.0,1.0,6.0,1.0,121.85925925925926,78.14074074074074,103.51851851851852,18.34074074074074,126.3530864197531,73.6469135802469,103.51851851851852,22.834567901234568,435.90000000000003,-235.90000000000006,378.3,57.6,168.8,31.199999999999992,130.0,38.800000000000004,168.8,31.199999999999985,130.0,38.800000000000004
