profit_per_user,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
0,113.40273510225491,-113.40273510225491,1.224724166500877,111.44989915157983,1.9528359506750863,113.40273510225491,-113.40273510225491,1.224724166500877,111.44989915157983,1.9528359506750863,1405.2516507811915,-1405.2516507811915,3.2648021479654132,1293.8302972141237,111.42135356706787,463.36914028431886,-463.36914028431886,3.265066282923426,384.70058106575965,78.66855921855922,465.6542876766091,-465.6542876766091,3.265066282923426,385.518608276644,80.13567939996511,92.74122448979591,-92.74122448979591,91.0,1.7412244897959184,92.74122448979591,-92.74122448979591,91.0,1.7412244897959184,428.4673469387755,-428.4673469387755,398.6224489795918,29.844897959183676,133.29275510204081,-133.29275510204081,112.74051020408163,20.552244897959184,133.70408163265307,-133.70408163265307,112.88775510204081,20.816326530612244
25,113.40273510225491,-82.78463093973298,1.224724166500877,111.44989915157983,1.9528359506750863,113.40273510225491,-82.78463093973298,1.224724166500877,111.44989915157983,1.9528359506750863,1405.2516507811915,-1323.6315970820563,3.2648021479654132,1293.8302972141237,111.42135356706787,463.36914028431886,-381.7424832112332,3.265066282923426,384.70058106575965,78.66855921855922,465.6542876766091,-384.02763060352345,3.265066282923426,385.518608276644,80.13567939996511,92.74122448979591,-67.74122448979593,91.0,1.7412244897959184,92.74122448979591,-67.74122448979593,91.0,1.7412244897959184,428.4673469387755,-403.4673469387755,398.6224489795918,29.844897959183676,133.29275510204081,-108.29275510204081,112.74051020408163,20.552244897959184,133.70408163265307,-108.70408163265306,112.88775510204081,20.816326530612244
50,113.40273510225491,-52.16652677721105,1.224724166500877,111.44989915157983,1.9528359506750863,113.40273510225491,-52.16652677721105,1.224724166500877,111.44989915157983,1.9528359506750863,1405.2516507811915,-1242.011543382921,3.2648021479654132,1293.8302972141237,111.42135356706787,463.36914028431886,-300.11582613814755,3.265066282923426,384.70058106575965,78.66855921855922,465.6542876766091,-302.4009735304378,3.265066282923426,385.518608276644,80.13567939996511,92.74122448979591,-42.74122448979592,91.0,1.7412244897959184,92.74122448979591,-42.74122448979592,91.0,1.7412244897959184,428.4673469387755,-378.4673469387755,398.6224489795918,29.844897959183676,133.29275510204081,-83.29275510204081,112.74051020408163,20.552244897959184,133.70408163265307,-83.70408163265306,112.88775510204081,20.816326530612244
75,113.40273510225491,-21.54842261468912,1.224724166500877,111.44989915157983,1.9528359506750863,113.734060919295,-21.533156248402346,1.229345395611902,111.8704310006831,1.8636299186119116,1405.2516507811915,-1160.3914896837857,3.2648021479654132,1293.8302972141237,111.42135356706787,463.36914028431886,-218.48916906506193,3.265066282923426,384.70058106575965,78.66855921855922,465.6542876766091,-220.77431645735217,3.265066282923426,385.518608276644,80.13567939996511,92.74122448979591,-17.741224489795915,91.0,1.7412244897959184,92.64163265306122,-17.641632653061222,91.0,1.6416326530612246,428.4673469387755,-353.4673469387755,398.6224489795918,29.844897959183676,133.29275510204081,-58.292755102040815,112.74051020408163,20.552244897959184,133.70408163265307,-58.704081632653065,112.88775510204081,20.816326530612244
100,113.40273510225491,9.06968154783281,1.224724166500877,111.44989915157983,1.9528359506750863,167.6887482887483,11.093844779559067,1.7878259306830735,162.6921596921597,4.996588596588597,1405.2516507811915,-1078.7714359846502,3.2648021479654132,1293.8302972141237,111.42135356706787,463.36914028431886,-136.86251199197628,3.265066282923426,384.70058106575965,78.66855921855922,465.6542876766091,-139.14765938426652,3.265066282923426,385.518608276644,80.13567939996511,92.74122448979591,7.2587755102040825,91.0,1.7412244897959184,93.95510204081633,6.044897959183675,91.0,2.955102040816327,428.4673469387755,-328.4673469387755,398.6224489795918,29.844897959183676,133.29275510204081,-33.292755102040815,112.74051020408163,20.552244897959184,133.70408163265307,-33.704081632653065,112.88775510204081,20.816326530612244
125,113.40273510225491,39.687785710354746,1.224724166500877,111.44989915157983,1.9528359506750863,199.11866229009084,57.835296449582174,2.055631669917384,187.06248196248194,12.056180327608901,1405.2516507811915,-997.151382285515,3.2648021479654132,1293.8302972141237,111.42135356706787,463.36914028431886,-55.23585491889062,3.265066282923426,384.70058106575965,78.66855921855922,465.6542876766091,-57.521002311180865,3.265066282923426,385.518608276644,80.13567939996511,92.74122448979591,32.25877551020409,91.0,1.7412244897959184,96.53469387755102,28.465306122448983,91.0,5.53469387755102,428.4673469387755,-303.4673469387755,398.6224489795918,29.844897959183676,133.29275510204081,-8.292755102040811,112.74051020408163,20.552244897959184,133.70408163265307,-8.704081632653056,112.88775510204081,20.816326530612244
150,113.40273510225491,70.30588987287668,1.224724166500877,111.44989915157983,1.9528359506750863,231.68657247514392,112.26685504971219,2.2930228501657073,208.66507936507938,23.02149311006454,1405.2516507811915,-915.5313285863796,3.2648021479654132,1293.8302972141237,111.42135356706787,463.36914028431886,26.390802154195,3.265066282923426,384.70058106575965,78.66855921855922,465.6542876766091,24.105654761904756,3.265066282923426,385.518608276644,80.13567939996511,92.74122448979591,57.25877551020408,91.0,1.7412244897959184,100.38775510204081,49.61224489795919,91.0,9.387755102040817,428.4673469387755,-278.4673469387755,398.6224489795918,29.844897959183676,133.29275510204081,16.707244897959185,112.74051020408163,20.552244897959184,133.70408163265307,16.29591836734694,112.88775510204081,20.816326530612244
175,113.40273510225491,100.9239940353986,1.224724166500877,111.44989915157983,1.9528359506750863,231.68657247514392,169.59242630385486,2.2930228501657073,208.66507936507938,23.02149311006454,1405.2516507811915,-833.9112748872442,3.2648021479654132,1293.8302972141237,111.42135356706787,463.36914028431886,108.01745922728064,3.265066282923426,384.70058106575965,78.66855921855922,465.6542876766091,105.7323118349904,3.265066282923426,385.518608276644,80.13567939996511,92.74122448979591,82.25877551020409,91.0,1.7412244897959184,100.38775510204081,74.61224489795919,91.0,9.387755102040817,428.4673469387755,-253.4673469387755,398.6224489795918,29.844897959183676,133.29275510204081,41.707244897959185,112.74051020408163,20.552244897959184,133.70408163265307,41.295918367346935,112.88775510204081,20.816326530612244
200,113.40273510225491,131.54209819792052,1.224724166500877,111.44989915157983,1.9528359506750863,285.84113029827313,227.93874062445494,2.5688993546136403,249.90861678004535,35.93251351822781,1405.2516507811915,-752.2912211881089,3.2648021479654132,1293.8302972141237,111.42135356706787,463.36914028431886,189.6441163003663,3.265066282923426,384.70058106575965,78.66855921855922,465.6542876766091,187.35896890807606,3.265066282923426,385.518608276644,80.13567939996511,92.74122448979591,107.25877551020409,91.0,1.7412244897959184,108.59183673469387,91.40816326530614,95.77551020408163,12.816326530612244,428.4673469387755,-228.4673469387755,398.6224489795918,29.844897959183676,133.29275510204081,66.70724489795919,112.74051020408163,20.552244897959184,133.70408163265307,66.29591836734694,112.88775510204081,20.816326530612244
225,113.40273510225491,162.16020236044247,1.224724166500877,111.44989915157983,1.9528359506750863,285.84113029827313,292.1612244897959,2.5688993546136403,249.90861678004535,35.93251351822781,1405.2516507811915,-670.6711674889737,3.2648021479654132,1293.8302972141237,111.42135356706787,463.36914028431886,271.27077337345196,3.265066282923426,384.70058106575965,78.66855921855922,465.6542876766091,268.9856259811617,3.265066282923426,385.518608276644,80.13567939996511,92.74122448979591,132.2587755102041,91.0,1.7412244897959184,108.59183673469387,116.40816326530613,95.77551020408163,12.816326530612244,428.4673469387755,-203.4673469387755,398.6224489795918,29.844897959183676,133.29275510204081,91.70724489795919,112.74051020408163,20.552244897959184,133.70408163265307,91.29591836734694,112.88775510204081,20.816326530612244
