profit_per_user,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
0,125.11950807566618,-125.11950807566618,1.0771430367018602,110.63407883986929,14.485429235796882,125.11950807566618,-125.11950807566618,1.0771430367018602,110.63407883986929,14.485429235796882,885.8175,-885.8175,2.075,822.7375,63.08,340.81875,-340.81875,2.075,281.88875,58.93000000000001,340.81875,-340.81875,2.075,281.88875,58.93000000000001,3.0625,1.875,3.0625,1.875,5.0,1.0,5.0,1.0,5.0,1.0,114.41484375,-114.41484375,101.51171875000001,12.903125,114.41484375,-114.41484375,101.51171875000001,12.903125,426.90000000000003,-426.90000000000003,396.5,30.4,164.25,-164.25,135.85000000000002,28.400000000000002,164.25,-164.25,135.85000000000002,28.400000000000002
25,125.11950807566618,-98.19093215811967,1.0771430367018602,110.63407883986929,14.485429235796882,125.11950807566618,-98.19093215811967,1.0771430367018602,110.63407883986929,14.485429235796882,885.8175,-833.9425,2.075,822.7375,63.08,340.81875,-288.94375,2.075,281.88875,58.93000000000001,340.81875,-288.94375,2.075,281.88875,58.93000000000001,3.0625,1.875,3.0625,1.875,5.0,1.0,5.0,1.0,5.0,1.0,114.41484375,-89.41484375000002,101.51171875000001,12.903125,114.41484375,-89.41484375000002,101.51171875000001,12.903125,426.90000000000003,-401.90000000000003,396.5,30.4,164.25,-139.25,135.85000000000002,28.400000000000002,164.25,-139.25,135.85000000000002,28.400000000000002
50,125.11950807566618,-71.26235624057315,1.0771430367018602,110.63407883986929,14.485429235796882,125.11950807566618,-71.26235624057315,1.0771430367018602,110.63407883986929,14.485429235796882,885.8175,-782.0675,2.075,822.7375,63.08,340.81875,-237.06875,2.075,281.88875,58.93000000000001,340.81875,-237.06875000000002,2.075,281.88875,58.93000000000001,3.0625,1.875,3.0625,1.875,5.0,1.0,5.0,1.0,5.0,1.0,114.41484375,-64.41484375,101.51171875000001,12.903125,114.41484375,-64.41484375,101.51171875000001,12.903125,426.90000000000003,-376.90000000000003,396.5,30.4,164.25,-114.25000000000001,135.85000000000002,28.400000000000002,164.25,-114.25000000000001,135.85000000000002,28.400000000000002
75,125.11950807566618,-44.33378032302665,1.0771430367018602,110.63407883986929,14.485429235796882,126.03740580293889,-44.29287123211756,1.0899271276109512,111.79743111259657,14.239974690342336,885.8175,-730.1925,2.075,822.7375,63.08,340.81875,-185.19375,2.075,281.88875,58.93000000000001,340.81875,-185.19375000000002,2.075,281.88875,58.93000000000001,3.0625,1.875,3.0625,1.875,5.0,1.0,5.0,1.0,5.0,1.0,114.41484375,-39.41484375000001,101.51171875000001,12.903125,114.13359375,-39.13359375000001,101.51171875000001,12.621875,426.90000000000003,-351.90000000000003,396.5,30.4,164.25,-89.25,135.85000000000002,28.400000000000002,164.25,-89.25000000000001,135.85000000000002,28.400000000000002
100,125.11950807566618,-17.40520440548015,1.0771430367018602,110.63407883986929,14.485429235796882,135.12129103535355,-16.450205176767682,1.1867108585858586,120.60475063131314,14.516540404040404,885.8175,-678.3175,2.075,822.7375,63.08,340.81875,-133.31875,2.075,281.88875,58.93000000000001,340.81875,-133.31875000000002,2.075,281.88875,58.93000000000001,3.0625,1.875,3.078125,1.8359375,5.0,1.0,5.0,1.0,5.0,1.0,114.41484375,-14.414843750000008,101.51171875000001,12.903125,114.13359375,-14.133593750000006,101.51171875000001,12.621875,426.90000000000003,-326.90000000000003,396.5,30.4,164.25,-64.25,135.85000000000002,28.400000000000002,164.25,-64.25000000000001,135.85000000000002,28.400000000000002
125,125.11950807566618,9.523371512066356,1.0771430367018602,110.63407883986929,14.485429235796882,138.0479403409091,13.274857954545448,1.2105823863636362,122.77705965909092,15.270880681818182,885.8175,-626.4425,2.075,822.7375,63.08,340.81875,-81.44375000000001,2.075,281.88875,58.93000000000001,340.81875,-81.44375000000002,2.075,281.88875,58.93000000000001,3.0625,1.875,3.078125,1.8359375,5.0,1.0,5.0,1.0,5.0,1.0,114.41484375,10.585156249999992,101.51171875000001,12.903125,114.51171875,10.488281249999995,101.51171875000001,13.0,426.90000000000003,-301.90000000000003,396.5,30.4,164.25,-39.25000000000001,135.85000000000002,28.400000000000002,164.25,-39.250000000000014,135.85000000000002,28.400000000000002
150,125.11950807566618,36.451947429612865,1.0771430367018602,110.63407883986929,14.485429235796882,163.91015625,46.44140624999999,1.40234375,140.22734375000002,23.6828125,885.8175,-574.5675,2.075,822.7375,63.08,340.81875,-29.568750000000005,2.075,281.88875,58.93000000000001,340.81875,-29.568750000000016,2.075,281.88875,58.93000000000001,3.0625,1.875,3.46875,1.5104166666666667,5.0,1.0,5.0,1.0,5.0,1.0,114.41484375,35.58515625,101.51171875000001,12.903125,118.88671875,31.113281249999996,101.51171875000001,17.375,426.90000000000003,-276.90000000000003,396.5,30.4,164.25,-14.250000000000005,135.85000000000002,28.400000000000002,164.25,-14.25000000000001,135.85000000000002,28.400000000000002
175,125.11950807566618,63.38052334715937,1.0771430367018602,110.63407883986929,14.485429235796882,163.91015625,81.5,1.40234375,140.22734375000002,23.6828125,885.8175,-522.6925,2.075,822.7375,63.08,340.81875,22.306249999999988,2.075,281.88875,58.93000000000001,340.81875,22.306249999999977,2.075,281.88875,58.93000000000001,3.0625,1.875,3.46875,1.5104166666666667,5.0,1.0,5.0,1.0,5.0,1.0,114.41484375,60.58515625,101.51171875000001,12.903125,118.88671875,56.11328124999999,101.51171875000001,17.375,426.90000000000003,-251.90000000000003,396.5,30.4,164.25,10.749999999999993,135.85000000000002,28.400000000000002,164.25,10.749999999999988,135.85000000000002,28.400000000000002
200,125.11950807566618,90.30909926470588,1.0771430367018602,110.63407883986929,14.485429235796882,163.91015625,116.55859375,1.40234375,140.22734375000002,23.6828125,885.8175,-470.8175,2.075,822.7375,63.08,340.81875,74.18124999999999,2.075,281.88875,58.93000000000001,340.81875,74.18124999999998,2.075,281.88875,58.93000000000001,3.0625,1.875,3.46875,1.5104166666666667,5.0,1.0,5.0,1.0,5.0,1.0,114.41484375,85.58515625,101.51171875000001,12.903125,118.88671875,81.11328125,101.51171875000001,17.375,426.90000000000003,-226.90000000000003,396.5,30.4,164.25,35.75,135.85000000000002,28.400000000000002,164.25,35.74999999999999,135.85000000000002,28.400000000000002
