memory_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
23400,93.0,7.0,1.0,91.0,2.0,93.0,7.0,1.0,91.0,2.0,415.6,-315.6,1.0,405.6,10.0,93.0,7.0,1.0,91.0,2.0,93.0,7.0,1.0,91.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,93.0,7.0,91.0,2.0,93.0,7.0,91.0,2.0,415.6,-315.6,405.6,10.0,93.0,7.0,91.0,2.0,93.0,7.0,91.0,2.0
27300,105.4,7.933333333333338,1.1333333333333333,103.13333333333335,2.266666666666666,105.4,7.933333333333338,1.1333333333333333,103.13333333333335,2.266666666666666,471.0133333333334,-357.68,1.1333333333333333,459.67999999999995,11.333333333333334,105.4,7.933333333333338,1.1333333333333333,103.13333333333335,2.266666666666666,105.4,7.933333333333338,1.1333333333333333,103.13333333333335,2.266666666666666,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,93.0,7.000000000000005,91.00000000000001,1.9999999999999998,93.0,7.000000000000005,91.00000000000001,1.9999999999999998,415.6,-315.6,405.6,10.0,93.0,7.000000000000005,91.00000000000001,1.9999999999999998,93.0,7.000000000000005,91.00000000000001,1.9999999999999998
31200,114.7,8.633333333333328,1.2333333333333334,112.23333333333333,2.466666666666667,114.7,8.633333333333328,1.2333333333333334,112.23333333333333,2.466666666666667,512.5733333333333,-389.24,1.2333333333333334,500.24,12.333333333333334,114.7,8.633333333333328,1.2333333333333334,112.23333333333333,2.466666666666667,114.7,8.633333333333328,1.2333333333333334,112.23333333333333,2.466666666666667,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,93.0,6.999999999999995,90.99999999999999,2.0,93.0,6.999999999999995,90.99999999999999,2.0,415.6,-315.6,405.6,10.0,93.0,6.999999999999995,90.99999999999999,2.0,93.0,6.999999999999995,90.99999999999999,2.0
35100,120.9,9.099999999999998,1.3,118.3,2.6,120.9,9.099999999999998,1.3,118.3,2.6,540.2800000000001,-410.28000000000003,1.3,527.2800000000001,13.0,120.9,9.099999999999998,1.3,118.3,2.6,120.9,9.099999999999998,1.3,118.3,2.6,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,93.0,7.0,91.0,2.0,93.0,7.0,91.0,2.0,415.6,-315.6,405.6,10.0,93.0,7.0,91.0,2.0,93.0,7.0,91.0,2.0
39000,111.2,8.799999999999999,1.2,109.2,2.0,118.31111111111112,12.799999999999997,1.2740740740740741,115.94074074074074,2.3703703703703702,554.1333333333333,-420.8,1.3333333333333333,540.8,13.333333333333334,124.0,9.333333333333329,1.3333333333333333,121.33333333333333,2.6666666666666665,124.0,9.333333333333329,1.3333333333333333,121.33333333333333,2.6666666666666665,1.8,1.2,1.9111111111111112,1.0888888888888888,2.0,1.0,2.0,1.0,2.0,1.0,92.6,7.4,91.0,1.6,92.82222222222222,7.177777777777775,91.0,1.8222222222222222,415.6,-315.6,405.6,10.0,93.0,6.999999999999997,91.0,2.0,93.0,6.999999999999997,91.0,2.0
