module_count,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
2,121.04761904761905,357.8220826792255,1.3301936159079017,121.04761904761905,0.0,206.18001046572473,591.9361590790162,2.2169893598465027,201.74603174603172,4.433978719693005,921.3807779522065,-123.26460840746554,2.2169893598465027,899.2108843537414,22.169893598465027,206.18001046572473,591.9361590790162,2.2169893598465027,201.74603174603172,4.433978719693005,206.18001046572473,591.9361590790162,2.2169893598465027,201.74603174603172,4.433978719693005,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,91.0,269.0,91.0,0.0,93.0,267.00000000000006,91.0,2.0,415.6,-55.6,405.6,10.0,93.0,267.00000000000006,91.0,2.0,93.0,267.00000000000006,91.0,2.0
3,121.04761904761905,357.8220826792255,1.3301936159079017,121.04761904761905,0.0,340.52956567242285,856.6446886446887,3.325484039769754,302.61904761904765,37.9105180533752,1420.6467817896391,-223.47252747252747,3.325484039769754,1357.4625850340137,63.18419675562534,340.52956567242285,856.6446886446887,3.325484039769754,302.61904761904765,37.9105180533752,340.52956567242285,856.6446886446887,3.325484039769754,302.61904761904765,37.9105180533752,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,91.0,269.0,91.0,0.0,102.4,257.6,91.0,11.4,427.2,-67.2,408.2,19.000000000000004,102.4,257.6,91.0,11.4,102.4,257.6,91.0,11.4
4,121.04761904761905,357.8220826792255,1.3301936159079017,121.04761904761905,0.0,603.0211058782487,993.2112332112332,4.433978719693005,507.2471655328798,95.77394034536893,1921.6863771149485,-325.4540380254666,4.433978719693005,1786.8934240362812,134.79295307866738,603.0211058782487,993.2112332112332,4.433978719693005,507.2471655328798,95.77394034536893,603.0211058782487,993.2112332112332,4.433978719693005,507.2471655328798,95.77394034536893,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,91.0,269.0,91.0,0.0,136.0,224.0,114.4,21.600000000000005,433.4,-73.40000000000002,403.0,30.400000000000002,136.0,224.0,114.4,21.600000000000005,136.0,224.0,114.4,21.600000000000005
5,121.04761904761905,357.8220826792255,1.3301936159079017,121.04761904761905,0.0,845.0080455259027,1014.7976844583987,5.1658817373103085,699.1447278911565,145.8633176347462,2164.9283677207145,-349.9342546908873,5.042890782686701,2002.754397473275,162.17397024743963,851.3968799058085,1014.6784733124018,5.183542647828363,704.184268707483,147.2126111983255,851.3968799058085,1014.6784733124019,5.183542647828363,704.184268707483,147.2126111983255,1.0,5.0,4.975510204081632,1.0081632653061225,4.877551020408164,1.030612244897959,5.0,1.0,5.0,1.0,91.0,269.0,91.0,0.0,163.52448979591836,196.47551020408164,135.30081632653062,28.223673469387755,429.27551020408157,-69.27551020408163,397.13673469387754,32.138775510204084,164.25,195.75,135.85,28.4,164.25,195.75,135.85,28.4
6,121.04761904761905,357.8220826792255,1.3301936159079017,121.04761904761905,0.0,861.1526251526251,1078.062445491017,5.386708529565673,667.6734693877551,193.47915576487006,2383.3334728763302,-444.11840223268797,5.386708529565673,2079.930158730159,303.4033141461713,901.087824873539,1069.3988313274028,5.473574045002617,703.3843537414965,197.70347113204258,923.9392987964414,1046.5473574045002,5.473574045002617,711.56462585034,212.37467294610153,1.0,6.0,5.183673469387755,1.220408163265306,5.26530612244898,1.1795918367346938,5.489795918367347,1.120408163265306,6.0,1.0,91.0,269.0,91.0,0.0,159.70204081632653,200.29795918367347,123.79183673469387,35.910204081632656,442.5530612244898,-82.5530612244898,386.2591836734694,56.293877551020415,164.68673469387755,195.31326530612245,128.52755102040817,36.159183673469386,168.79999999999998,191.2,130.0,38.8
