computation_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
14000,97.33333333333333,287.7216117216117,1.0695970695970696,97.33333333333333,0.0,505.99072039072036,764.6905982905984,3.52967032967033,417.97714285714284,88.01357753357755,1517.2091819291818,-246.52786324786322,3.52967032967033,1394.184126984127,123.02505494505496,505.99072039072036,764.6905982905984,3.52967032967033,417.97714285714284,88.01357753357755,505.99072039072036,764.6905982905984,3.52967032967033,417.97714285714284,88.01357753357755,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,91.0,269.0,91.0,0.0,132.89,227.11,112.45,20.44,427.8,-67.79999999999998,398.32,29.48,132.89,227.11,112.45,20.44,132.89,227.11,112.45,20.44
16000,108.33333333333333,320.23809523809524,1.1904761904761905,108.33333333333333,0.0,547.7167277167276,833.6019536019536,3.836996336996337,453.30952380952374,94.40720390720391,1648.7570207570207,-267.4383394383394,3.836996336996337,1517.1031746031747,131.65384615384616,547.7167277167276,833.6019536019536,3.836996336996337,453.30952380952374,94.40720390720391,547.7167277167276,833.6019536019536,3.836996336996337,453.30952380952385,94.40720390720391,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,91.0,269.0,91.0,0.0,132.89,227.11,112.45,20.44,427.8,-67.80000000000001,398.32,29.48,132.89,227.11,112.45,20.44,132.89,227.11,112.45,20.44
18000,117.0,345.85714285714283,1.2857142857142858,117.0,0.0,575.0671550671551,884.4053724053723,4.054090354090354,484.0631746031746,91.00398046398047,1744.0169963369965,-284.5444688644689,4.054090354090354,1604.4752380952382,139.54175824175826,576.6945054945055,883.4813186813186,4.056043956043956,478.1457142857143,98.5487912087912,576.6945054945055,883.4813186813187,4.056043956043956,478.1457142857143,98.5487912087912,1.0,4.0,3.8857142857142857,1.022857142857143,3.8857142857142857,1.022857142857143,4.0,1.0,4.0,1.0,91.0,269.0,91.0,0.0,132.65571428571428,227.34428571428572,113.56428571428572,19.091428571428573,428.25714285714287,-68.25714285714287,398.32,29.937142857142863,132.89,227.11,112.45,20.44,132.89,227.11,112.45,20.44
20000,125.0,369.5054945054945,1.3736263736263734,125.0,0.0,583.008547008547,932.3760683760684,4.2094017094017095,485.57936507936506,97.42918192918194,1817.2161172161173,-301.83150183150184,4.2094017094017095,1682.5476190476193,134.66849816849816,602.1416361416361,930.825396825397,4.258241758241758,507.26190476190476,94.87973137973138,603.4432234432235,929.5238095238096,4.258241758241758,501.07142857142856,102.37179487179489,1.0,4.0,3.7714285714285714,1.0571428571428572,3.7714285714285714,1.0571428571428572,3.8857142857142857,1.022857142857143,4.0,1.0,91.00000000000001,269.00000000000006,91.00000000000001,0.0,130.51285714285714,229.48714285714286,110.66714285714286,19.845714285714287,429.7085714285714,-69.70857142857143,401.14285714285717,28.565714285714286,132.65571428571428,227.34428571428572,113.56428571428572,19.091428571428573,132.89,227.11,112.45,20.44
22000,130.66666666666669,386.2564102564103,1.435897435897436,130.66666666666669,0.0,600.5480921855923,964.616742979243,4.347680097680097,500.3609126984127,100.18717948717949,1859.367251875109,-312.33703209488925,4.298334205477063,1719.7281519274377,139.63909994767138,605.3313644688644,964.2290750915752,4.35989010989011,505.7815476190476,99.54981684981685,615.5615231990232,953.9989163614164,4.35989010989011,511.6625,103.89902319902322,1.0,4.0,3.7714285714285714,1.0571428571428572,3.737142857142857,1.0657142857142856,3.8,1.0485714285714285,4.0,1.0,91.00000000000001,269.0,91.00000000000001,0.0,130.51285714285714,229.48714285714286,110.66714285714286,19.845714285714287,430.37371428571424,-70.37371428571429,401.32114285714283,29.052571428571433,131.04857142857142,228.95142857142858,111.39142857142858,19.65714285714286,132.89,227.11,112.45,20.44
24000,134.0,396.1098901098901,1.4725274725274724,134.0,0.0,596.0982753357754,981.5626351822781,4.382391418105704,496.6625,99.43577533577533,1868.7215288679574,-318.88047706261995,4.305468341182627,1723.4939342403627,145.22759462759464,611.6634768009768,977.6771825396825,4.414835164835164,511.35297619047617,100.31050061050063,621.8936355311355,967.4470238095238,4.414835164835164,517.2339285714286,104.65970695970697,1.0,4.0,3.7142857142857144,1.0857142857142856,3.702857142857143,1.0742857142857143,3.8,1.0485714285714285,4.0,1.0,91.0,269.0,91.0,0.0,129.0157142857143,230.9842857142857,109.33,19.685714285714287,431.65028571428576,-71.65028571428572,401.4251428571428,30.22514285714286,131.04857142857142,228.95142857142858,111.39142857142858,19.65714285714286,132.89,227.11,112.45,20.44
26000,135.0,399.06593406593413,1.4835164835164834,135.0,0.0,589.8183760683761,987.2597244025815,4.38042909471481,491.85,97.96837606837607,1881.4779914529913,-321.18168062096635,4.33451072736787,1735.2197845804988,146.2582068724926,613.5631105006105,981.7116147741148,4.431318681318682,513.0244047619047,100.53870573870573,623.7932692307692,971.4814560439561,4.431318681318682,518.9053571428572,104.8879120879121,1.0,4.0,3.68,1.0971428571428572,3.702857142857143,1.0742857142857143,3.8,1.0485714285714285,4.0,1.0,91.00000000000001,269.0,91.00000000000001,0.0,128.0,232.0,108.56114285714285,19.438857142857145,431.65028571428576,-71.65028571428572,401.4251428571428,30.22514285714286,131.04857142857142,228.95142857142858,111.39142857142858,19.65714285714286,132.89,227.11,112.45,20.44
