memory_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
40000,93.33333333333331,275.8974358974359,1.0256410256410255,93.33333333333331,0.0,485.19658119658123,733.2649572649573,3.3846153846153846,400.8,84.39658119658121,1454.8581196581197,-236.3965811965811,3.3846153846153846,1336.8888888888887,117.96923076923078,485.19658119658123,733.2649572649573,3.3846153846153846,400.8,84.39658119658121,485.1965811965812,733.2649572649573,3.3846153846153846,400.8,84.39658119658121,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,90.99999999999999,269.0,90.99999999999999,0.0,132.89,227.11,112.45,20.44,427.8,-67.79999999999998,398.32,29.480000000000004,132.89,227.11,112.45,20.44,132.89,227.11,112.45,20.44
45000,104.0,307.4285714285714,1.1428571428571426,104.0,0.0,534.4644688644688,810.0630036630035,3.7347985347985344,441.84380952380957,92.62065934065936,1605.160586080586,-260.63311355311356,3.7347985347985344,1475.8190476190478,129.34153846153845,534.4644688644688,810.0630036630035,3.7347985347985344,441.84380952380957,92.62065934065936,534.4644688644688,810.0630036630035,3.7347985347985344,441.84380952380957,92.62065934065936,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,91.00000000000001,269.00000000000006,91.00000000000001,0.0,132.89,227.11,112.45,20.44,427.8,-67.80000000000001,398.32,29.48,132.89,227.11,112.45,20.44,132.89,227.11,112.45,20.44
50000,113.33333333333334,335.01831501831504,1.2454212454212454,113.33333333333334,0.0,565.6713064713065,863.779242979243,3.970695970695971,468.59047619047624,97.08083028083028,1705.9387057387057,-276.48815628815635,3.970695970695971,1570.7079365079364,135.23076923076923,565.6713064713065,863.779242979243,3.970695970695971,468.59047619047624,97.08083028083028,565.6713064713065,863.779242979243,3.970695970695971,468.5904761904762,97.08083028083028,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,91.0,269.0,91.0,0.0,132.89,227.11,112.45,20.44,427.8,-67.80000000000001,398.32,29.48,132.89,227.11,112.45,20.44,132.89,227.11,112.45,20.44
60000,128.0,378.37362637362645,1.4065934065934065,128.0,0.0,593.8691086691088,951.2737484737486,4.292063492063493,496.608253968254,97.26085470085471,1853.2225641025643,-308.079706959707,4.292063492063493,1715.6342857142856,137.58827838827838,613.4090354090355,949.4920634920636,4.341391941391941,516.8114285714286,96.59760683760685,614.7106227106227,948.1904761904763,4.341391941391941,510.6209523809524,104.08967032967034,1.0,4.0,3.742857142857143,1.062857142857143,3.742857142857143,1.062857142857143,3.8857142857142857,1.022857142857143,4.0,1.0,91.00000000000001,269.00000000000006,91.00000000000001,0.0,130.4542857142857,229.5457142857143,110.94571428571429,19.50857142857143,429.8228571428571,-69.82285714285715,401.14285714285717,28.68,132.65571428571428,227.34428571428572,113.56428571428572,19.091428571428573,132.89,227.11,112.45,20.44
65000,133.0,393.15384615384613,1.4615384615384615,133.0,0.0,610.1422313797315,980.8248015873016,4.41935286935287,510.2755158730159,99.86671550671551,1889.9299031920461,-317.7128702250131,4.368332461189604,1747.6881972789115,142.2417059131345,615.3323412698412,980.2061202686203,4.432051282051282,514.2167857142857,101.11555555555556,625.5625,969.9759615384615,4.432051282051282,520.0977380952381,105.46476190476191,1.0,4.0,3.742857142857143,1.062857142857143,3.7085714285714286,1.0714285714285714,3.8,1.0485714285714285,4.0,1.0,91.00000000000001,269.0,91.00000000000001,0.0,130.4542857142857,229.5457142857143,110.94571428571429,19.50857142857143,430.48799999999994,-70.488,401.32114285714283,29.166857142857147,131.04857142857142,228.95142857142858,111.39142857142858,19.65714285714286,132.89,227.11,112.45,20.44
70000,136.66666666666669,403.99267399267404,1.5018315018315018,136.66666666666669,0.0,605.8157356532356,998.1183302808304,4.4553724053724055,506.75329365079364,99.06244200244201,1898.9455651491364,-324.03072998430144,4.375100296528868,1751.3266780045353,147.61888714460144,622.2976648351648,994.9990384615386,4.4924908424908425,520.3453571428571,101.9523076923077,632.5278235653236,984.7688797313798,4.4924908424908425,526.2263095238095,106.30151404151404,1.0,4.0,3.6857142857142855,1.0914285714285714,3.6742857142857144,1.08,3.8,1.0485714285714285,4.0,1.0,91.0,269.0,91.0,0.0,128.95714285714286,231.04285714285714,109.60857142857142,19.34857142857143,431.76457142857146,-71.76457142857143,401.4251428571428,30.339428571428574,131.04857142857142,228.95142857142858,111.39142857142858,19.65714285714286,132.89,227.11,112.45,20.44
75000,139.0,410.8901098901099,1.5274725274725276,139.0,0.0,603.0884615384615,1011.1890109890111,4.483760683760684,504.9312698412698,98.15719169719169,1928.710644514216,-329.4002049537764,4.442865864294435,1778.6869954648528,150.02364904936334,626.7301434676435,1004.4127136752137,4.530952380952381,524.2453571428572,102.48478632478634,636.9603021978021,994.182554945055,4.530952380952381,530.1263095238096,106.83399267399268,1.0,4.0,3.6514285714285712,1.1028571428571428,3.6742857142857144,1.08,3.8,1.0485714285714285,4.0,1.0,91.0,269.0,91.0,0.0,127.94142857142857,232.05857142857144,108.8397142857143,19.101714285714287,431.76457142857146,-71.76457142857143,401.4251428571428,30.339428571428574,131.04857142857142,228.95142857142858,111.39142857142858,19.65714285714286,132.89,227.11,112.45,20.44
