profit_per_user,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
0,107.7984126984127,-107.7984126984127,1.1200396825396826,101.92361111111111,5.874801587301587,107.7984126984127,-107.7984126984127,1.1200396825396826,101.92361111111111,5.874801587301587,697.1666666666666,-697.1666666666666,1.6319444444444444,666.1597222222222,31.006944444444443,167.11111111111111,-167.11111111111111,1.6319444444444444,148.50694444444446,18.604166666666668,167.11111111111111,-167.11111111111111,1.6319444444444444,148.50694444444446,18.604166666666668,2.2777777777777777,1.3888888888888888,2.2777777777777777,1.3888888888888888,3.0,1.0,3.0,1.0,3.0,1.0,95.91666666666667,-95.91666666666667,91.0,4.916666666666667,95.91666666666667,-95.91666666666667,91.0,4.916666666666667,427.20000000000005,-427.20000000000005,408.20000000000005,19.0,102.4,-102.4,91.0,11.4,102.4,-102.4,91.0,11.4
25,107.7984126984127,-79.79742063492064,1.1200396825396826,101.92361111111111,5.874801587301587,107.7984126984127,-79.79742063492064,1.1200396825396826,101.92361111111111,5.874801587301587,697.1666666666666,-656.3680555555555,1.6319444444444444,666.1597222222222,31.006944444444443,167.11111111111111,-126.3125,1.6319444444444444,148.50694444444446,18.604166666666668,167.11111111111111,-126.3125,1.6319444444444444,148.50694444444446,18.604166666666668,2.2777777777777777,1.3888888888888888,2.2777777777777777,1.3888888888888888,3.0,1.0,3.0,1.0,3.0,1.0,95.91666666666667,-70.91666666666667,91.0,4.916666666666667,95.91666666666667,-70.91666666666667,91.0,4.916666666666667,427.20000000000005,-402.20000000000005,408.20000000000005,19.0,102.4,-77.4,91.0,11.4,102.4,-77.4,91.0,11.4
50,107.7984126984127,-51.79642857142857,1.1200396825396826,101.92361111111111,5.874801587301587,107.7984126984127,-51.79642857142857,1.1200396825396826,101.92361111111111,5.874801587301587,697.1666666666666,-615.5694444444445,1.6319444444444444,666.1597222222222,31.006944444444443,167.11111111111111,-85.51388888888889,1.6319444444444444,148.50694444444446,18.604166666666668,167.11111111111111,-85.51388888888889,1.6319444444444444,148.50694444444446,18.604166666666668,2.2777777777777777,1.3888888888888888,2.2777777777777777,1.3888888888888888,3.0,1.0,3.0,1.0,3.0,1.0,95.91666666666667,-45.916666666666664,91.0,4.916666666666667,95.91666666666667,-45.916666666666664,91.0,4.916666666666667,427.20000000000005,-377.20000000000005,408.20000000000005,19.0,102.4,-52.4,91.0,11.4,102.4,-52.4,91.0,11.4
75,107.7984126984127,-23.79543650793651,1.1200396825396826,101.92361111111111,5.8748015873015875,107.7984126984127,-23.79543650793651,1.1200396825396826,101.92361111111111,5.8748015873015875,697.1666666666666,-574.7708333333334,1.6319444444444444,666.1597222222222,31.006944444444443,167.11111111111111,-44.71527777777778,1.6319444444444444,148.50694444444446,18.604166666666668,167.11111111111111,-44.71527777777778,1.6319444444444444,148.50694444444446,18.604166666666668,2.2777777777777777,1.3888888888888888,2.2777777777777777,1.3888888888888888,3.0,1.0,3.0,1.0,3.0,1.0,95.91666666666667,-20.91666666666667,91.0,4.916666666666667,95.91666666666667,-20.91666666666667,91.0,4.916666666666667,427.20000000000005,-352.20000000000005,408.20000000000005,19.0,102.4,-27.4,91.0,11.4,102.4,-27.4,91.0,11.4
100,107.7984126984127,4.205555555555553,1.1200396825396826,101.92361111111111,5.874801587301587,116.94444444444444,4.58333333333333,1.2152777777777777,110.59027777777777,6.354166666666667,697.1666666666666,-533.9722222222222,1.6319444444444444,666.1597222222222,31.006944444444443,167.11111111111111,-3.916666666666665,1.6319444444444444,148.50694444444446,18.604166666666668,167.11111111111111,-3.916666666666665,1.6319444444444444,148.50694444444446,18.604166666666668,2.2777777777777777,1.3888888888888888,2.3055555555555554,1.3472222222222223,3.0,1.0,3.0,1.0,3.0,1.0,95.91666666666667,4.083333333333331,91.0,4.916666666666667,96.15,3.8499999999999974,91.0,5.15,427.20000000000005,-327.20000000000005,408.20000000000005,19.0,102.4,-2.399999999999999,91.0,11.4,102.4,-2.399999999999999,91.0,11.4
125,107.7984126984127,32.20654761904762,1.1200396825396826,101.92361111111111,5.874801587301587,167.11111111111111,36.88194444444444,1.6319444444444444,148.50694444444446,18.604166666666668,697.1666666666666,-493.1736111111111,1.6319444444444444,666.1597222222222,31.006944444444443,167.11111111111111,36.88194444444444,1.6319444444444444,148.50694444444446,18.604166666666668,167.11111111111111,36.88194444444444,1.6319444444444444,148.50694444444446,18.604166666666668,2.2777777777777777,1.3888888888888888,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,95.91666666666667,29.083333333333332,91.0,4.916666666666667,102.4,22.6,91.0,11.4,427.20000000000005,-302.20000000000005,408.20000000000005,19.0,102.4,22.6,91.0,11.4,102.4,22.6,91.0,11.4
150,107.7984126984127,60.20753968253968,1.1200396825396826,101.92361111111111,5.874801587301587,167.11111111111111,77.68055555555556,1.6319444444444444,148.50694444444446,18.604166666666668,697.1666666666666,-452.37500000000006,1.6319444444444444,666.1597222222222,31.006944444444443,167.11111111111111,77.68055555555556,1.6319444444444444,148.50694444444446,18.604166666666668,167.11111111111111,77.68055555555556,1.6319444444444444,148.50694444444446,18.604166666666668,2.2777777777777777,1.3888888888888888,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,95.91666666666667,54.083333333333336,91.0,4.916666666666667,102.4,47.6,91.0,11.4,427.20000000000005,-277.20000000000005,408.20000000000005,19.0,102.4,47.6,91.0,11.4,102.4,47.6,91.0,11.4
175,107.7984126984127,88.20853174603174,1.1200396825396826,101.92361111111111,5.874801587301587,167.11111111111111,118.47916666666667,1.6319444444444444,148.50694444444446,18.604166666666668,697.1666666666666,-411.5763888888889,1.6319444444444444,666.1597222222222,31.006944444444443,167.11111111111111,118.47916666666667,1.6319444444444444,148.50694444444446,18.604166666666668,167.11111111111111,118.47916666666667,1.6319444444444444,148.50694444444446,18.604166666666668,2.2777777777777777,1.3888888888888888,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,95.91666666666667,79.08333333333333,91.0,4.916666666666667,102.4,72.6,91.0,11.4,427.20000000000005,-252.20000000000002,408.20000000000005,19.0,102.4,72.6,91.0,11.4,102.4,72.6,91.0,11.4
200,107.7984126984127,116.20952380952382,1.1200396825396826,101.92361111111111,5.874801587301587,167.11111111111111,159.27777777777777,1.6319444444444444,148.50694444444446,18.604166666666668,697.1666666666666,-370.7777777777778,1.6319444444444444,666.1597222222222,31.006944444444443,167.11111111111111,159.27777777777777,1.6319444444444444,148.50694444444446,18.604166666666668,167.11111111111111,159.27777777777777,1.6319444444444444,148.50694444444446,18.604166666666668,2.2777777777777777,1.3888888888888888,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,95.91666666666667,104.08333333333333,91.0,4.916666666666667,102.4,97.6,91.0,11.4,427.20000000000005,-227.20000000000002,408.20000000000005,19.0,102.4,97.6,91.0,11.4,102.4,97.6,91.0,11.4
