computation_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
2600,168.8,-68.80000000000001,1.0,130.0,38.8,168.8,-68.80000000000001,1.0,130.0,38.8,435.9000000000001,-335.9000000000001,1.0,378.30000000000007,57.6,168.8,-68.80000000000001,1.0,130.0,38.8,168.8,-68.80000000000001,1.0,130.0,38.8,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,168.8,-68.80000000000001,130.0,38.8,168.8,-68.80000000000001,130.0,38.8,435.9000000000001,-335.9000000000001,378.30000000000007,57.6,168.8,-68.80000000000001,130.0,38.8,168.8,-68.80000000000001,130.0,38.8
3900,150.31111111111113,-50.31111111111112,1.0,116.13333333333334,34.17777777777778,150.31111111111113,-50.31111111111112,1.0,116.13333333333334,34.17777777777778,629.6333333333333,-485.1888888888889,1.4444444444444444,546.4333333333334,83.2,243.8222222222222,-99.37777777777777,1.4444444444444444,187.77777777777777,56.04444444444445,243.82222222222225,-99.37777777777782,1.4444444444444444,187.7777777777778,56.04444444444445,4.222222222222222,1.4444444444444444,4.222222222222222,1.4444444444444444,6.0,1.0,6.0,1.0,6.0,1.0,150.31111111111113,-50.31111111111112,116.13333333333334,34.17777777777778,150.31111111111113,-50.31111111111112,116.13333333333334,34.17777777777778,435.90000000000003,-335.90000000000003,378.3,57.6,168.79999999999998,-68.8,130.0,38.800000000000004,168.80000000000004,-68.80000000000003,130.00000000000003,38.800000000000004
5200,116.86666666666667,-16.866666666666667,1.0,97.93333333333334,18.933333333333334,116.86666666666667,-16.866666666666667,1.0,97.93333333333334,18.933333333333334,799.1500000000002,-615.8166666666668,1.8333333333333333,693.5500000000002,105.60000000000001,309.4666666666667,-126.13333333333334,1.8333333333333333,238.33333333333334,71.13333333333334,309.4666666666667,-126.13333333333334,1.8333333333333333,238.33333333333334,71.13333333333334,3.4444444444444446,1.8333333333333333,3.4444444444444446,1.8333333333333333,6.0,1.0,6.0,1.0,6.0,1.0,116.86666666666667,-16.866666666666667,97.93333333333334,18.933333333333334,116.86666666666667,-16.866666666666667,97.93333333333334,18.933333333333334,435.9000000000001,-335.9000000000001,378.30000000000007,57.6,168.8,-68.8,130.0,38.800000000000004,168.8,-68.80000000000001,130.0,38.800000000000004
6500,111.0,-11.000000000000004,1.0,97.93333333333334,13.066666666666668,118.78888888888889,-9.06666666666667,1.0555555555555556,102.9888888888889,15.799999999999999,944.4499999999999,-727.7833333333334,2.1666666666666665,819.6500000000001,124.8,365.73333333333335,-149.06666666666666,2.1666666666666665,281.6666666666667,84.06666666666666,365.73333333333335,-149.0666666666667,2.1666666666666665,281.6666666666667,84.06666666666666,2.7777777777777777,2.5,3.0,2.2777777777777777,6.0,1.0,6.0,1.0,6.0,1.0,111.0,-11.000000000000004,97.93333333333334,13.066666666666668,112.95555555555555,-12.955555555555557,97.93333333333334,15.022222222222222,435.90000000000003,-335.90000000000003,378.3,57.6,168.8,-68.8,130.0,38.8,168.8,-68.8,130.0,38.8
7800,109.66666666666667,-9.666666666666666,1.0,97.93333333333334,11.733333333333333,124.09691358024692,-4.72962962962963,1.1141975308641976,108.32530864197531,15.771604938271604,1065.5333333333335,-821.0888888888891,2.4444444444444446,924.7333333333335,140.8,412.62222222222226,-168.17777777777778,2.4444444444444446,317.77777777777777,94.84444444444445,412.62222222222226,-168.17777777777783,2.4444444444444446,317.7777777777778,94.84444444444445,2.7777777777777777,2.5,3.0,2.2777777777777777,6.0,1.0,6.0,1.0,6.0,1.0,109.66666666666667,-9.666666666666666,97.93333333333334,11.733333333333333,112.21481481481482,-12.214814814814815,97.93333333333334,14.281481481481482,435.90000000000003,-335.90000000000003,378.3,57.6,168.79999999999998,-68.8,130.0,38.800000000000004,168.80000000000004,-68.80000000000003,130.00000000000003,38.800000000000004
9100,110.55555555555556,-10.555555555555555,1.0,97.93333333333334,12.622222222222222,130.10300411522635,-2.196625514403292,1.1693415637860083,113.34341563786009,16.759588477366254,1162.4,-895.7333333333335,2.6666666666666665,1008.8000000000001,153.6,450.1333333333334,-183.4666666666667,2.6666666666666665,346.6666666666667,103.46666666666668,450.1333333333334,-183.46666666666667,2.6666666666666665,346.6666666666667,103.46666666666668,2.7777777777777777,2.5,3.0,2.2777777777777777,6.0,1.0,6.0,1.0,6.0,1.0,110.55555555555556,-10.555555555555555,97.93333333333334,12.622222222222222,112.60987654320988,-12.609876543209877,97.93333333333334,14.676543209876543,435.90000000000003,-335.90000000000003,378.3,57.6,168.8,-68.80000000000001,130.00000000000003,38.800000000000004,168.8,-68.8,130.0,38.800000000000004
10400,110.15555555555557,-10.155555555555555,1.0,97.93333333333334,12.222222222222221,134.13349794238684,0.17720164609053488,1.2106995884773661,117.10699588477365,17.02650205761317,1235.0500000000002,-951.7166666666669,2.8333333333333335,1071.8500000000004,163.20000000000002,478.26666666666665,-194.93333333333337,2.8333333333333335,368.3333333333333,109.93333333333334,478.26666666666677,-194.93333333333337,2.8333333333333335,368.3333333333333,109.93333333333334,2.7777777777777777,2.5,3.0,2.2777777777777777,6.0,1.0,6.0,1.0,6.0,1.0,110.15555555555557,-10.155555555555555,97.93333333333334,12.222222222222221,112.4320987654321,-12.432098765432098,97.93333333333334,14.498765432098766,435.90000000000003,-335.9000000000001,378.30000000000007,57.6,168.8,-68.8,130.0,38.800000000000004,168.8,-68.80000000000001,130.0,38.800000000000004
11700,109.8,-9.799999999999999,1.0,97.93333333333334,11.866666666666667,136.780987654321,1.7992592592592582,1.2382716049382716,119.61604938271604,17.16493827160494,1283.4833333333333,-989.038888888889,2.9444444444444446,1113.8833333333334,169.6,497.02222222222224,-202.5777777777778,2.9444444444444446,382.77777777777777,114.24444444444445,497.02222222222224,-202.57777777777778,2.9444444444444446,382.77777777777777,114.24444444444445,2.7777777777777777,2.5,3.0,2.2777777777777777,6.0,1.0,6.0,1.0,6.0,1.0,109.8,-9.799999999999999,97.93333333333334,11.866666666666667,112.27407407407408,-12.274074074074075,97.93333333333334,14.34074074074074,435.90000000000003,-335.9000000000001,378.3,57.6,168.8,-68.8,130.0,38.800000000000004,168.8,-68.8,130.0,38.800000000000004
13000,109.57777777777777,-9.577777777777778,1.0,97.93333333333334,11.644444444444446,138.0849794238683,2.630041152263374,1.2520576131687244,120.87057613168724,17.21440329218107,1307.7,-1007.7000000000002,3.0,1134.9,172.79999999999998,506.40000000000003,-206.4,3.0,390.0,116.39999999999999,506.40000000000003,-206.4,3.0,390.0,116.39999999999999,2.6666666666666665,2.8333333333333335,2.950617283950617,2.425925925925926,6.0,1.0,6.0,1.0,6.0,1.0,109.57777777777777,-9.577777777777778,97.93333333333334,11.644444444444446,112.17530864197532,-12.17530864197531,97.93333333333334,14.241975308641974,435.90000000000003,-335.90000000000003,378.3,57.6,168.8,-68.8,130.0,38.800000000000004,168.8,-68.8,130.0,38.800000000000004
