memory_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
40000,93.33333333333331,240.0,1.0256410256410255,93.33333333333331,0.0,1.0,4.0,485.19658119658123,614.8034188034187,3.3846153846153846,400.8,84.39658119658121,4.0,1.0,1454.8581196581194,-354.85811965811956,3.3846153846153846,1336.888888888889,117.96923076923078,4.0,1.0,485.19658119658123,614.8034188034187,3.3846153846153846,400.8,84.39658119658121,4.0,1.0,485.1965811965812,614.8034188034188,3.3846153846153846,400.8,84.39658119658121,4.0,1.0,90.99999999999999,234.0,90.99999999999999,0.0,132.89000000000001,192.11,112.45,20.440000000000005,427.8,-102.79999999999998,398.31999999999994,29.480000000000004,132.89000000000001,192.11,112.45,20.440000000000005,132.89000000000001,192.11,112.45,20.440000000000005
45000,104.0,267.4285714285714,1.1428571428571426,104.0,0.0,1.0,4.0,534.4644688644688,679.3450549450549,3.7347985347985344,441.8438095238095,92.62065934065934,4.0,1.0,1605.1605860805862,-391.3510622710623,3.7347985347985344,1475.8190476190478,129.34153846153845,4.0,1.0,534.4644688644688,679.3450549450549,3.7347985347985344,441.8438095238095,92.62065934065934,4.0,1.0,534.4644688644688,679.3450549450549,3.7347985347985344,441.8438095238095,92.62065934065934,4.0,1.0,91.00000000000001,234.00000000000003,91.00000000000001,0.0,132.89000000000001,192.11,112.45,20.44,427.8,-102.80000000000003,398.32000000000005,29.479999999999997,132.89000000000001,192.11,112.45,20.44,132.89000000000001,192.11,112.45,20.44
50000,113.33333333333334,291.42857142857144,1.2454212454212454,113.33333333333334,0.0,1.0,4.0,565.6713064713064,724.8048840048841,3.970695970695971,468.59047619047624,97.0808302808303,4.0,1.0,1705.9387057387055,-415.46251526251524,3.970695970695971,1570.7079365079367,135.23076923076923,4.0,1.0,565.6713064713064,724.8048840048841,3.970695970695971,468.59047619047624,97.0808302808303,4.0,1.0,565.6713064713064,724.8048840048841,3.970695970695971,468.59047619047624,97.0808302808303,4.0,1.0,91.0,234.0,91.0,0.0,132.89000000000001,192.11,112.45,20.44,427.8,-102.8,398.32000000000005,29.480000000000004,132.89000000000001,192.11,112.45,20.44,132.89000000000001,192.11,112.45,20.44
60000,128.0,329.14285714285717,1.4065934065934067,128.0,0.0,1.0,4.0,589.223088023088,801.0926280069137,4.276840619697763,492.72946608946614,96.49362193362195,3.722077922077922,1.0732467532467531,1853.222564102564,-458.30192918192927,4.292063492063493,1715.6342857142859,137.5882783882784,3.742857142857143,1.0628571428571427,613.4090354090354,797.5433455433456,4.341391941391941,516.8114285714286,96.59760683760685,3.8857142857142857,1.022857142857143,614.7106227106227,796.2417582417582,4.341391941391941,510.62095238095236,104.08967032967034,4.0,1.0,91.0,234.0,91.0,0.0,129.90987012987014,195.09012987012986,110.45948051948052,19.45038961038961,429.8228571428571,-104.82285714285715,401.14285714285717,28.680000000000003,132.6557142857143,192.34428571428572,113.56428571428572,19.091428571428573,132.89000000000001,192.11,112.45,20.44
65000,133.0,342.0,1.4615384615384617,133.0,0.0,1.0,4.0,605.2058344433344,826.1911217750504,4.403178567464281,506.1543037518037,99.0515306915307,3.722077922077922,1.0732467532467531,1908.5431684981684,-472.253485958486,4.41935286935287,1767.0688095238097,141.47435897435898,3.742857142857143,1.0628571428571427,615.3323412698412,825.0843253968253,4.432051282051282,514.2167857142857,101.11555555555556,3.8,1.0485714285714285,625.5625,814.8541666666667,4.432051282051282,520.097738095238,105.4647619047619,4.0,1.0,91.0,234.0,91.0,0.0,129.90987012987014,195.09012987012986,110.45948051948052,19.45038961038961,429.8228571428571,-104.82285714285715,401.14285714285717,28.680000000000003,131.04857142857142,193.95142857142858,111.39142857142856,19.65714285714286,132.89000000000001,192.11,112.45,20.44
70000,136.66666666666666,351.42857142857144,1.5018315018315018,136.66666666666666,0.0,1.0,4.0,590.0834124209124,842.5973790098791,4.405580927009499,494.0859054834055,95.99750693750694,3.625974025974026,1.1143722943722945,1924.142508047508,-478.7369413919414,4.448989898989899,1779.4736435786438,144.66886446886448,3.727272727272727,1.0667532467532468,622.2976648351648,837.7618589743589,4.4924908424908425,520.3453571428571,101.95230769230771,3.8,1.0485714285714285,632.5278235653235,827.5317002442004,4.4924908424908425,526.2263095238095,106.30151404151405,4.0,1.0,91.0,234.0,91.0,0.0,127.24961038961038,197.7503896103896,108.25116883116883,18.99844155844156,430.4587012987013,-105.4587012987013,401.18337662337666,29.275324675324676,131.04857142857142,193.95142857142858,111.39142857142856,19.65714285714286,132.89000000000001,192.11,112.45,20.44
75000,139.0,357.42857142857144,1.5274725274725276,139.0,0.0,1.0,4.0,583.0806013431014,855.3710858585858,4.424395445824017,488.9171825396825,94.1634188034188,3.574025974025974,1.1316883116883116,1938.6195163566592,-485.5065777080063,4.471701314558458,1789.4766893424037,149.1428270142556,3.6987012987012986,1.073896103896104,626.7301434676434,845.8293803418803,4.530952380952381,524.2453571428571,102.48478632478634,3.8,1.0485714285714285,636.9603021978022,835.5992216117216,4.530952380952381,530.1263095238095,106.8339926739927,4.0,1.0,91.0,234.0,91.0,0.0,125.71064935064935,199.28935064935064,107.08623376623376,18.624415584415587,431.2909090909091,-106.2909090909091,401.2981818181818,29.992727272727276,131.04857142857142,193.95142857142858,111.39142857142856,19.65714285714286,132.89000000000001,192.11,112.45,20.44
