profit_per_user,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
300,121.04761904761905,278.01046572475144,1.3301936159079017,121.04761904761905,0.0,1.0,4.0,552.321701116344,661.4366153970745,4.045861055044728,460.25918934240366,92.06251177394036,3.7551020408163267,1.0794557823129252,1772.2300137051159,-539.3063387406245,4.109745583214971,1636.1086103012633,136.1214034038524,3.8489795918367347,1.0369387755102042,580.4430773591487,657.5710513692657,4.126713762428048,483.83617346938775,96.60690388976104,3.8979591836734695,1.0240816326530613,585.0133721437293,653.0007565846851,4.126713762428048,485.4722278911565,99.54114425257283,4.0,1.0,91.0,209.0,91.0,0.0,128.81979591836733,171.18020408163267,109.33,19.489795918367346,429.1224489795918,-129.12244897959184,399.94367346938776,29.178775510204083,132.0673469387755,167.9326530612245,112.15551020408162,19.91183673469388,132.89,167.10999999999999,112.45,20.44
305,121.04761904761905,284.66143380429094,1.3301936159079017,121.04761904761905,0.0,1.0,4.0,552.321701116344,681.6659206722982,4.045861055044728,460.25918934240366,92.06251177394036,3.7551020408163267,1.0794557823129252,1772.2300137051159,-518.7576108245496,4.109745583214971,1636.1086103012633,136.1214034038524,3.8489795918367347,1.0369387755102042,580.4430773591487,678.2046201814059,4.126713762428048,483.83617346938775,96.60690388976104,3.8979591836734695,1.0240816326530613,585.0133721437293,673.6343253968254,4.126713762428048,485.4722278911565,99.54114425257283,4.0,1.0,91.0,214.00000000000003,91.0,0.0,128.81979591836733,176.18020408163267,109.33,19.489795918367346,429.1224489795918,-124.12244897959184,399.94367346938776,29.178775510204083,132.0673469387755,172.9326530612245,112.15551020408162,19.91183673469388,132.89,172.11,112.45,20.44
310,121.04761904761905,291.3124018838305,1.3301936159079017,121.04761904761905,0.0,1.0,4.0,561.6759658991803,702.0423441354565,4.076510677531085,468.06871315192745,93.60725274725276,3.795918367346939,1.059047619047619,1772.2300137051159,-498.2088829084747,4.109745583214971,1636.1086103012633,136.1214034038524,3.8489795918367347,1.0369387755102042,580.4430773591487,698.8381889935462,4.126713762428048,483.83617346938775,96.60690388976104,3.8979591836734695,1.0240816326530613,585.0133721437293,694.2678942089657,4.126713762428048,485.4722278911565,99.54114425257283,4.0,1.0,91.0,219.0,91.0,0.0,129.88918367346938,180.11081632653062,110.28510204081633,19.60408163265306,429.1224489795918,-119.12244897959184,399.94367346938776,29.178775510204083,132.0673469387755,177.9326530612245,112.15551020408162,19.91183673469388,132.89,177.11,112.45,20.44
315,121.04761904761905,297.96336996337,1.3301936159079017,121.04761904761905,0.0,1.0,4.0,561.6759658991803,722.4248975231119,4.076510677531086,468.06871315192745,93.60725274725276,3.795918367346939,1.059047619047619,1772.2300137051159,-477.6601549923999,4.109745583214971,1636.1086103012633,136.1214034038524,3.8489795918367347,1.0369387755102042,580.4430773591487,719.4717578056864,4.126713762428048,483.83617346938775,96.60690388976104,3.8979591836734695,1.0240816326530613,585.0133721437293,714.9014630211059,4.126713762428048,485.4722278911565,99.54114425257283,4.0,1.0,91.0,224.0,91.0,0.0,129.88918367346938,185.11081632653062,110.28510204081633,19.60408163265306,429.1224489795918,-114.12244897959184,399.94367346938776,29.178775510204083,132.0673469387755,182.9326530612245,112.15551020408162,19.91183673469388,132.89,182.11,112.45,20.44
320,121.04761904761905,304.6143380429095,1.3301936159079017,121.04761904761905,0.0,1.0,4.0,566.2099140938427,742.8784216067379,4.090901049064315,471.66650226757366,94.54341182626898,3.8122448979591836,1.0536054421768708,1772.2300137051159,-457.111427076325,4.109745583214971,1636.1086103012633,136.1214034038524,3.8489795918367347,1.0369387755102042,580.4430773591487,740.1053266178267,4.126713762428048,483.83617346938775,96.60690388976104,3.8979591836734695,1.0240816326530613,585.0133721437293,735.5350318332462,4.126713762428048,485.4722278911565,99.54114425257283,4.0,1.0,91.0,229.0,91.0,0.0,130.37285714285713,189.62714285714287,110.65122448979592,19.721632653061224,429.1224489795918,-109.12244897959184,399.94367346938776,29.178775510204083,132.0673469387755,187.9326530612245,112.15551020408162,19.91183673469388,132.89,187.11,112.45,20.44
325,121.04761904761905,311.265306122449,1.3301936159079017,121.04761904761905,0.0,1.0,4.0,568.1143969126113,763.3396847200419,4.096781789638932,473.2628741496599,94.85152276295135,3.820408163265306,1.0495238095238095,1769.817323390895,-436.5775274725275,4.102276295133438,1633.1818934240362,136.63542996685857,3.8448979591836734,1.0379591836734694,580.4430773591487,760.7388954299669,4.126713762428048,483.83617346938775,96.60690388976104,3.8979591836734695,1.0240816326530613,585.0133721437293,756.1686006453864,4.126713762428048,485.4722278911565,99.54114425257283,4.0,1.0,91.0,234.0,91.0,0.0,130.58673469387756,194.41326530612244,110.84224489795918,19.74448979591837,429.2889795918367,-104.28897959183674,399.95428571428573,29.33469387755102,132.0673469387755,192.9326530612245,112.15551020408162,19.91183673469388,132.89,192.10999999999999,112.45,20.44
330,121.04761904761905,317.9162742019885,1.3301936159079017,121.04761904761905,0.0,1.0,4.0,568.1143969126113,783.8235936682365,4.096781789638932,473.2628741496599,94.85152276295135,3.820408163265306,1.0495238095238095,1769.817323390895,-416.0661459968603,4.102276295133438,1633.1818934240362,136.63542996685857,3.8448979591836734,1.0379591836734694,580.4430773591487,781.3724642421072,4.126713762428048,483.83617346938775,96.60690388976104,3.8979591836734695,1.0240816326530613,585.0133721437293,776.8021694575267,4.126713762428048,485.4722278911565,99.54114425257283,4.0,1.0,91.0,239.0,91.0,0.0,130.58673469387756,199.41326530612244,110.84224489795918,19.74448979591837,429.2889795918367,-99.28897959183674,399.95428571428573,29.33469387755102,132.0673469387755,197.9326530612245,112.15551020408162,19.91183673469388,132.89,197.11,112.45,20.44
335,121.04761904761905,324.567242281528,1.3301936159079017,121.04761904761905,0.0,1.0,4.0,570.3264259549975,804.3305599162742,4.103453689167975,475.01414965986396,95.31227629513346,3.8285714285714287,1.0468027210884352,1769.817323390895,-395.55476452119314,4.102276295133438,1633.1818934240362,136.63542996685857,3.8448979591836734,1.0379591836734694,580.4430773591487,802.0060330542473,4.126713762428048,483.83617346938775,96.60690388976104,3.8979591836734695,1.0240816326530613,585.0133721437293,797.4357382696668,4.126713762428048,485.4722278911565,99.54114425257283,4.0,1.0,91.0,244.0,91.0,0.0,130.82857142857142,204.17142857142858,111.02530612244898,19.803265306122448,429.2889795918367,-94.28897959183675,399.95428571428573,29.33469387755102,132.0673469387755,202.9326530612245,112.15551020408162,19.91183673469388,132.89,202.10999999999999,112.45,20.44
340,121.04761904761905,331.21821036106746,1.3301936159079017,121.04761904761905,0.0,1.0,4.0,570.3264259549975,824.847828362114,4.103453689167975,475.01414965986396,95.31227629513346,3.8285714285714287,1.0468027210884352,1766.7201229722657,-375.05973574045004,4.093118785975928,1629.7686281179137,136.951494854352,3.836734693877551,1.04,580.4430773591487,822.6396018663876,4.126713762428048,483.83617346938775,96.60690388976104,3.8979591836734695,1.0240816326530613,585.0133721437293,818.0693070818071,4.126713762428048,485.4722278911565,99.54114425257283,4.0,1.0,91.0,249.0,91.0,0.0,130.82857142857142,209.17142857142858,111.02530612244898,19.803265306122448,429.4473469387755,-89.44734693877552,399.99673469387756,29.45061224489796,132.0673469387755,207.9326530612245,112.15551020408162,19.91183673469388,132.89,207.10999999999999,112.45,20.44
345,121.04761904761905,337.869178440607,1.3301936159079017,121.04761904761905,0.0,1.0,4.0,570.3264259549975,845.3650968079539,4.103453689167975,475.01414965986396,95.31227629513346,3.8285714285714287,1.0468027210884352,1766.7201229722657,-354.5941418105704,4.093118785975928,1629.7686281179137,136.951494854352,3.836734693877551,1.04,580.4430773591487,843.2731706785278,4.126713762428048,483.83617346938775,96.60690388976104,3.8979591836734695,1.0240816326530613,585.0133721437293,838.7028758939473,4.126713762428048,485.4722278911565,99.54114425257283,4.0,1.0,91.0,254.0,91.0,0.0,130.82857142857142,214.17142857142858,111.02530612244898,19.803265306122448,429.4473469387755,-84.44734693877552,399.99673469387756,29.45061224489796,132.0673469387755,212.9326530612245,112.15551020408162,19.91183673469388,132.89,212.10999999999999,112.45,20.44
350,121.04761904761905,344.5201465201465,1.3301936159079017,121.04761904761905,0.0,1.0,4.0,570.3264259549975,865.8823652537938,4.103453689167975,475.01414965986396,95.31227629513346,3.8285714285714287,1.0468027210884352,1766.7201229722657,-334.1285478806908,4.093118785975928,1629.7686281179137,136.951494854352,3.836734693877551,1.04,580.4430773591487,863.9067394906681,4.126713762428048,483.83617346938775,96.60690388976104,3.8979591836734695,1.0240816326530613,585.0133721437293,859.3364447060876,4.126713762428048,485.4722278911565,99.54114425257283,4.0,1.0,91.0,259.0,91.0,0.0,130.82857142857142,219.17142857142858,111.02530612244898,19.803265306122448,429.4473469387755,-79.44734693877552,399.99673469387756,29.45061224489796,132.0673469387755,217.9326530612245,112.15551020408162,19.91183673469388,132.89,217.10999999999999,112.45,20.44
