test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
1,300,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,214.3589743589744,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,353.84615384615387,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-197.60683760683756,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,353.84615384615387,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,353.84615384615387,1.709401709401709,2,1.0,90.99999999999999,209.00000000000006,90.99999999999999,0.0,93.0,207.00000000000006,91.00000000000001,2.0,415.6,-115.6,405.6,10.000000000000002,93.0,207.00000000000006,91.00000000000001,2.0,93.0,207.00000000000006,91.00000000000001,2.0
2,305,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,219.4871794871795,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,362.3931623931624,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-189.05982905982896,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,362.3931623931624,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,362.3931623931624,1.709401709401709,2,1.0,90.99999999999999,214.00000000000003,90.99999999999999,0.0,93.0,212.00000000000006,91.00000000000001,2.0,415.6,-110.59999999999997,405.6,10.000000000000002,93.0,212.00000000000006,91.00000000000001,2.0,93.0,212.00000000000006,91.00000000000001,2.0
3,310,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,224.61538461538456,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,370.94017094017096,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-180.51282051282044,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,370.94017094017096,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,370.94017094017096,1.709401709401709,2,1.0,90.99999999999999,218.99999999999997,90.99999999999999,0.0,93.0,217.00000000000006,91.00000000000001,2.0,415.6,-105.59999999999998,405.6,10.000000000000002,93.0,217.00000000000006,91.00000000000001,2.0,93.0,217.00000000000006,91.00000000000001,2.0
4,315,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,229.74358974358967,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,379.4871794871795,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-171.9658119658119,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,379.4871794871795,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,379.4871794871795,1.709401709401709,2,1.0,90.99999999999999,223.99999999999994,90.99999999999999,0.0,93.0,222.00000000000006,91.00000000000001,2.0,415.6,-100.59999999999998,405.6,10.000000000000002,93.0,222.00000000000006,91.00000000000001,2.0,93.0,222.00000000000006,91.00000000000001,2.0
5,320,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,234.8717948717949,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,388.0341880341881,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-163.41880341880335,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,388.0341880341881,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,388.0341880341881,1.709401709401709,2,1.0,90.99999999999999,229.00000000000003,90.99999999999999,0.0,93.0,227.00000000000009,91.00000000000001,2.0,415.6,-95.59999999999998,405.6,10.000000000000002,93.0,227.00000000000009,91.00000000000001,2.0,93.0,227.00000000000009,91.00000000000001,2.0
6,325,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,240.0,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,396.5811965811966,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-154.8717948717948,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,396.5811965811966,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,396.5811965811966,1.709401709401709,2,1.0,90.99999999999999,234.00000000000003,90.99999999999999,0.0,93.0,232.00000000000006,91.00000000000001,2.0,415.6,-90.59999999999998,405.6,10.000000000000002,93.0,232.00000000000006,91.00000000000001,2.0,93.0,232.00000000000006,91.00000000000001,2.0
7,330,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,245.12820512820517,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,405.12820512820514,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-146.32478632478626,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,405.12820512820514,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,405.12820512820514,1.709401709401709,2,1.0,90.99999999999999,239.00000000000006,90.99999999999999,0.0,93.0,237.00000000000006,91.00000000000001,2.0,415.6,-85.59999999999998,405.6,10.000000000000002,93.0,237.00000000000006,91.00000000000001,2.0,93.0,237.00000000000006,91.00000000000001,2.0
8,335,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,250.25641025641025,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,413.6752136752137,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-137.77777777777771,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,413.6752136752137,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,413.6752136752137,1.709401709401709,2,1.0,90.99999999999999,244.0,90.99999999999999,0.0,93.0,242.00000000000006,91.00000000000001,2.0,415.6,-80.59999999999998,405.6,10.000000000000002,93.0,242.00000000000006,91.00000000000001,2.0,93.0,242.00000000000006,91.00000000000001,2.0
9,340,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,255.38461538461536,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,422.22222222222223,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-129.23076923076917,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,422.22222222222223,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,422.22222222222223,1.709401709401709,2,1.0,90.99999999999999,249.0,90.99999999999999,0.0,93.0,247.00000000000006,91.00000000000001,2.0,415.6,-75.59999999999998,405.6,10.000000000000002,93.0,247.00000000000006,91.00000000000001,2.0,93.0,247.00000000000006,91.00000000000001,2.0
11,350,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,265.64102564102564,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,439.3162393162393,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-112.13675213675208,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,439.3162393162393,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,439.3162393162393,1.709401709401709,2,1.0,90.99999999999999,259.0,90.99999999999999,0.0,93.0,257.00000000000006,91.00000000000001,2.0,415.6,-65.59999999999998,405.6,10.000000000000002,93.0,257.00000000000006,91.00000000000001,2.0,93.0,257.00000000000006,91.00000000000001,2.0
10,345,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,260.5128205128205,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,430.7692307692308,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-120.68376068376062,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,430.7692307692308,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,430.7692307692308,1.709401709401709,2,1.0,90.99999999999999,254.0,90.99999999999999,0.0,93.0,252.00000000000006,91.00000000000001,2.0,415.6,-70.59999999999998,405.6,10.000000000000002,93.0,252.00000000000006,91.00000000000001,2.0,93.0,252.00000000000006,91.00000000000001,2.0
