module_count,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
2,121.04761904761904,311.265306122449,1.3301936159079015,121.04761904761904,0.0,1.0,2.0,206.18001046572476,514.3415314843887,2.2169893598465027,201.74603174603175,4.433978719693005,2.0,1.0,921.3807779522065,-200.85923600209316,2.2169893598465027,899.2108843537414,22.169893598465027,2.0,1.0,206.18001046572476,514.3415314843887,2.2169893598465027,201.74603174603175,4.433978719693005,2.0,1.0,206.18001046572476,514.3415314843887,2.2169893598465027,201.74603174603175,4.433978719693005,2.0,1.0,91.0,234.0,91.0,0.0,93.0,232.0,91.0,2.0,415.59999999999997,-90.60000000000001,405.59999999999997,10.0,93.0,232.0,91.0,2.0,93.0,232.0,91.0,2.0
3,121.04761904761904,311.265306122449,1.3301936159079015,121.04761904761904,0.0,1.0,3.0,340.52956567242285,740.2527472527473,3.325484039769754,302.6190476190476,37.9105180533752,3.0,1.0,1420.6467817896391,-339.86446886446885,3.325484039769754,1357.4625850340137,63.18419675562533,3.0,1.0,340.52956567242285,740.2527472527473,3.325484039769754,302.6190476190476,37.9105180533752,3.0,1.0,340.52956567242285,740.2527472527473,3.325484039769754,302.6190476190476,37.9105180533752,3.0,1.0,91.0,234.0,91.0,0.0,102.39999999999999,222.6,91.0,11.4,427.20000000000005,-102.2,408.2,19.000000000000004,102.39999999999999,222.6,91.0,11.4,102.39999999999999,222.6,91.0,11.4
4,121.04761904761904,311.265306122449,1.3301936159079015,121.04761904761904,0.0,1.0,4.0,603.0211058782487,838.0219780219779,4.433978719693005,507.2471655328799,95.77394034536893,4.0,1.0,1921.6863771149485,-480.64329321472184,4.433978719693005,1786.893424036281,134.79295307866738,4.0,1.0,603.0211058782487,838.0219780219779,4.433978719693005,507.2471655328799,95.77394034536893,4.0,1.0,603.0211058782487,838.0219780219779,4.433978719693005,507.2471655328799,95.77394034536893,4.0,1.0,91.0,234.0,91.0,0.0,136.0,189.0,114.39999999999999,21.6,433.40000000000003,-108.4,403.0,30.400000000000006,136.0,189.0,114.39999999999999,21.6,136.0,189.0,114.39999999999999,21.6
5,121.04761904761904,311.265306122449,1.3301936159079015,121.04761904761904,0.0,1.0,5.0,825.4670062080777,834.8854389657961,5.1067147138575715,683.6713589981447,141.79564720993295,4.903525046382189,1.0321583178726037,2200.7286937552244,-529.0605234901153,5.144780389678349,2041.090688223341,159.6380055318831,4.957328385899815,1.0106679035250463,851.3968799058085,833.2544806384092,5.183542647828363,704.184268707483,147.2126111983255,5.0,1.0,851.3968799058084,833.2544806384092,5.183542647828363,704.1842687074829,147.2126111983255,5.0,1.0,91.0,234.0,91.0,0.0,161.39192949907235,163.60807050092762,133.6865491651206,27.705380333951762,427.72782931354357,-102.72782931354361,396.72189239332096,31.005936920222634,164.25,160.74999999999997,135.85000000000002,28.400000000000002,164.25,160.75,135.85,28.400000000000002
6,121.04761904761904,311.265306122449,1.3301936159079015,121.04761904761904,0.0,1.0,6.0,848.3203780346637,889.7879988492233,5.345479916908489,656.9457843743558,191.37459366030794,5.128014842300557,1.2482374768089053,2385.903918303918,-632.765786594358,5.394637108922823,2083.2490620490616,302.65485625485627,5.26530612244898,1.1795918367346938,901.087824873539,877.8237397523112,5.473574045002616,703.3843537414965,197.70347113204258,5.489795918367347,1.120408163265306,923.9392987964416,854.9722658294087,5.473574045002616,711.5646258503401,212.37467294610155,6.0,1.0,91.0,234.0,91.0,0.0,158.24378478664192,166.75621521335805,122.48942486085343,35.7543599257885,442.3545454545455,-117.35454545454546,386.2833024118738,56.07124304267162,164.68673469387755,160.31326530612245,128.52755102040814,36.15918367346939,168.79999999999998,156.20000000000002,130.0,38.800000000000004
