computation_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
3900,197.1,-77.10000000000002,1.2,163.02000000000004,34.08,197.1,-77.10000000000002,1.2,163.02000000000004,34.08,512.2800000000001,-392.2800000000001,1.2,475.80000000000007,36.48,197.1,-77.10000000000002,1.2,163.02000000000004,34.08,197.1,-77.10000000000002,1.2,163.02,34.08,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,164.25,-64.25000000000003,135.85000000000005,28.4,164.25,-64.25000000000003,135.85000000000005,28.4,426.9000000000001,-326.9000000000001,396.50000000000006,30.399999999999995,164.25,-64.25000000000003,135.85000000000005,28.4,164.25,-64.25000000000003,135.85000000000002,28.4
5200,116.51249999999999,-14.012500000000003,1.025,100.0025,16.51,116.51249999999999,-14.012500000000003,1.025,100.0025,16.51,661.695,-506.695,1.55,614.575,47.120000000000005,254.58749999999998,-99.58750000000002,1.55,210.5675,44.02000000000001,254.58749999999998,-99.58750000000002,1.55,210.5675,44.02000000000001,3.25,1.5833333333333333,3.25,1.5833333333333333,5.0,1.0,5.0,1.0,5.0,1.0,112.40625,-12.406250000000004,96.60625,15.799999999999999,112.40625,-12.406250000000004,96.60625,15.799999999999999,426.9,-326.9,396.49999999999994,30.400000000000002,164.25,-64.25,135.85000000000002,28.400000000000006,164.25,-64.25,135.85000000000002,28.400000000000006
6500,123.42916666666669,-12.595833333333339,1.1083333333333334,107.58583333333334,15.843333333333334,129.1050925925926,-10.748611111111117,1.1546296296296297,111.7987962962963,17.306296296296296,789.7649999999999,-604.765,1.8499999999999999,733.5250000000001,56.239999999999995,303.86249999999995,-118.86250000000001,1.8499999999999999,251.32250000000002,52.54,303.8625,-118.86250000000005,1.8499999999999999,251.32250000000002,52.54,3.25,1.5833333333333333,3.25,1.5833333333333333,5.0,1.0,5.0,1.0,5.0,1.0,110.75625000000001,-10.756250000000007,96.60625,14.149999999999999,111.48958333333333,-11.489583333333337,96.60625,14.883333333333333,426.9,-326.9,396.5,30.399999999999995,164.25,-64.25,135.85000000000002,28.4,164.25000000000003,-64.25000000000003,135.85000000000002,28.4
7800,111.91527777777777,-8.02638888888889,1.0388888888888888,101.2663888888889,10.648888888888889,127.0752805836139,-1.8094276094276114,1.1697109988776655,113.17120089786756,13.904079685746353,896.4900000000001,-686.4900000000001,2.0999999999999996,832.6500000000001,63.839999999999996,344.92500000000007,-134.92500000000004,2.0999999999999996,285.2850000000001,59.64,344.92500000000007,-134.92500000000004,2.0999999999999996,285.285,59.64,2.625,2.1041666666666665,2.8333333333333335,1.9305555555555556,5.0,1.0,5.0,1.0,5.0,1.0,106.38125,-6.381250000000001,96.60625,9.774999999999999,108.00347222222223,-8.003472222222223,96.60625,11.397222222222222,426.90000000000003,-326.90000000000003,396.5,30.399999999999995,164.25000000000003,-64.25000000000003,135.85000000000002,28.4,164.25000000000006,-64.25000000000003,135.85000000000002,28.4
9100,114.30758547008548,-6.572542735042743,1.0773504273504273,104.7663888888889,9.54119658119658,134.045851679185,1.0466329966329913,1.2436231977898644,119.89721099887768,14.148640680307347,981.8699999999998,-751.8699999999999,2.3,911.9499999999999,69.92,377.775,-147.77499999999998,2.3,312.45500000000004,65.32,377.775,-147.77499999999998,2.3,312.45500000000004,65.32,2.625,2.1041666666666665,2.8333333333333335,1.9305555555555556,5.0,1.0,5.0,1.0,5.0,1.0,105.18125000000002,-5.1812500000000075,96.60625,8.575,107.58125000000001,-7.581250000000005,96.60625,10.975000000000001,426.9,-326.9,396.49999999999994,30.400000000000002,164.25,-64.24999999999999,135.85000000000002,28.400000000000002,164.25,-64.25,135.85000000000002,28.400000000000002
10400,112.3633547008547,-7.512927350427357,1.0485042735042736,102.1413888888889,10.221965811965811,137.8842112362946,3.900799663299659,1.2772042001208668,122.95308221099887,14.931129025295693,1045.905,-800.905,2.45,971.4249999999998,74.48,402.4125,-157.41250000000002,2.45,332.83250000000004,69.58,402.4125,-157.41250000000002,2.45,332.83250000000004,69.58,2.625,2.1041666666666665,2.8333333333333335,1.9305555555555556,5.0,1.0,5.0,1.0,5.0,1.0,105.93125,-5.931250000000006,96.60625,9.325,107.91458333333334,-7.914583333333338,96.60625,11.308333333333334,426.9,-326.9,396.49999999999994,30.400000000000002,164.25,-64.25,135.85000000000002,28.400000000000002,164.25,-64.25000000000001,135.85000000000002,28.400000000000002
11700,113.13100175967823,-6.809986173956769,1.0632101558572147,103.47962418300655,9.651377576671694,141.36036245435756,5.451943454149331,1.3146744912676285,126.3628787053542,14.997483749003358,1088.595,-833.5949999999999,2.55,1011.0749999999999,77.52000000000001,418.8375,-163.83749999999998,2.55,346.4175,72.42000000000002,418.8375,-163.83749999999998,2.55,346.4175,72.42000000000002,2.625,2.1041666666666665,2.8333333333333335,1.9305555555555556,5.0,1.0,5.0,1.0,5.0,1.0,105.33125000000001,-5.331250000000008,96.60625,8.725,107.64791666666667,-7.6479166666666725,96.60625,11.041666666666666,426.9,-326.9,396.5,30.400000000000002,164.25,-64.25,135.85000000000002,28.400000000000002,164.25,-64.25,135.85000000000002,28.400000000000002
13000,112.19717823026647,-6.611456762192062,1.0558572146807441,102.81050653594771,9.386671694318753,142.51281714835636,6.568038225391161,1.326873689128591,127.4730057107018,15.039811437654574,1109.9399999999998,-849.94,2.5999999999999996,1030.9,79.04,427.04999999999995,-167.05,2.5999999999999996,353.21000000000004,73.84,427.05,-167.05000000000004,2.5999999999999996,353.21000000000004,73.84,2.5,2.4166666666666665,2.7777777777777777,2.0694444444444446,5.0,1.0,5.0,1.0,5.0,1.0,105.08125000000001,-5.081250000000006,96.60625,8.475,107.53680555555556,-7.53680555555556,96.60625,10.930555555555555,426.9,-326.9,396.5,30.400000000000002,164.25,-64.25,135.85000000000002,28.400000000000002,164.25,-64.25000000000001,135.85000000000002,28.400000000000002
