test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users,single_func_nodes,single_func_avg_modules
6,125,13000000000,5,5,100,0.004,0.001,0.1,3900,11700,197.10000000000002,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-362.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-47.10000000000002,1.2,5,1.0
8,175,13000000000,5,5,100,0.004,0.001,0.1,3900,11700,197.10000000000002,163.02000000000004,34.08,12.899999999999977,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,12.899999999999977,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-302.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,12.899999999999977,1.2,5,1.0,197.10000000000002,163.02,34.08,12.899999999999977,1.2,5,1.0
10,0,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.10000000000002,163.02000000000004,34.08,-197.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-197.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-512.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-197.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-197.10000000000002,1.2,5,1.0
7,150,13000000000,5,5,100,0.004,0.001,0.1,3900,11700,197.10000000000002,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-332.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,197.10000000000002,163.02,34.08,-17.100000000000023,1.2,5,1.0
9,200,13000000000,5,5,100,0.004,0.001,0.1,3900,11700,197.10000000000002,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-272.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,197.10000000000002,163.02,34.08,42.89999999999998,1.2,5,1.0
14,100,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.10000000000002,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-392.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-77.10000000000002,1.2,5,1.0
11,25,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.10000000000002,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-482.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-167.10000000000002,1.2,5,1.0
20,25,13000000000,5,5,100,0.004,0.001,0.1,3900,19500,197.10000000000002,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-482.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-167.10000000000002,1.2,5,1.0
12,50,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.10000000000002,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-452.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-137.10000000000002,1.2,5,1.0
16,150,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.10000000000002,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-332.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,197.10000000000002,163.02,34.08,-17.100000000000023,1.2,5,1.0
21,50,13000000000,5,5,100,0.004,0.001,0.1,3900,19500,197.10000000000002,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-452.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-137.10000000000002,1.2,5,1.0
18,200,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.10000000000002,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-272.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,197.10000000000002,163.02,34.08,42.89999999999998,1.2,5,1.0
19,0,13000000000,5,5,100,0.004,0.001,0.1,3900,19500,197.10000000000002,163.02000000000004,34.08,-197.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-197.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-512.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-197.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-197.10000000000002,1.2,5,1.0
13,75,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.10000000000002,163.02000000000004,34.08,-107.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-107.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-422.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-107.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-107.10000000000002,1.2,5,1.0
17,175,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.10000000000002,163.02000000000004,34.08,12.899999999999977,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,12.899999999999977,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-302.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,12.899999999999977,1.2,5,1.0,197.10000000000002,163.02,34.08,12.899999999999977,1.2,5,1.0
15,125,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.10000000000002,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-362.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-47.10000000000002,1.2,5,1.0
22,75,13000000000,5,5,100,0.004,0.001,0.1,3900,19500,197.10000000000002,163.02000000000004,34.08,-107.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-107.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-422.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-107.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-107.10000000000002,1.2,5,1.0
24,125,13000000000,5,5,100,0.004,0.001,0.1,3900,19500,197.10000000000002,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-362.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-47.10000000000002,1.2,5,1.0
25,150,13000000000,5,5,100,0.004,0.001,0.1,3900,19500,197.10000000000002,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-332.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,197.10000000000002,163.02,34.08,-17.100000000000023,1.2,5,1.0
26,175,13000000000,5,5,100,0.004,0.001,0.1,3900,19500,197.10000000000002,163.02000000000004,34.08,12.899999999999977,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,12.899999999999977,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-302.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,12.899999999999977,1.2,5,1.0,197.10000000000002,163.02,34.08,12.899999999999977,1.2,5,1.0
23,100,13000000000,5,5,100,0.004,0.001,0.1,3900,19500,197.10000000000002,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-392.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-77.10000000000002,1.2,5,1.0
32,100,13000000000,5,5,100,0.004,0.001,0.1,3900,23400,197.10000000000002,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-392.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-77.10000000000002,1.2,5,1.0
28,0,13000000000,5,5,100,0.004,0.001,0.1,3900,23400,197.10000000000002,163.02000000000004,34.08,-197.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-197.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-512.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-197.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-197.10000000000002,1.2,5,1.0
29,25,13000000000,5,5,100,0.004,0.001,0.1,3900,23400,197.10000000000002,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-482.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-167.10000000000002,1.2,5,1.0
31,75,13000000000,5,5,100,0.004,0.001,0.1,3900,23400,197.10000000000002,163.02000000000004,34.08,-107.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-107.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-422.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-107.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-107.10000000000002,1.2,5,1.0
33,125,13000000000,5,5,100,0.004,0.001,0.1,3900,23400,197.10000000000002,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-362.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-47.10000000000002,1.2,5,1.0
27,200,13000000000,5,5,100,0.004,0.001,0.1,3900,19500,197.10000000000002,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-272.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,197.10000000000002,163.02,34.08,42.89999999999998,1.2,5,1.0
30,50,13000000000,5,5,100,0.004,0.001,0.1,3900,23400,197.10000000000002,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-452.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-137.10000000000002,1.2,5,1.0
37,0,13000000000,5,5,100,0.004,0.001,0.1,3900,27300,197.10000000000002,163.02000000000004,34.08,-197.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-197.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-512.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-197.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-197.10000000000002,1.2,5,1.0
34,150,13000000000,5,5,100,0.004,0.001,0.1,3900,23400,197.10000000000002,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-332.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,197.10000000000002,163.02,34.08,-17.100000000000023,1.2,5,1.0
35,175,13000000000,5,5,100,0.004,0.001,0.1,3900,23400,197.10000000000002,163.02000000000004,34.08,12.899999999999977,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,12.899999999999977,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-302.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,12.899999999999977,1.2,5,1.0,197.10000000000002,163.02,34.08,12.899999999999977,1.2,5,1.0
36,200,13000000000,5,5,100,0.004,0.001,0.1,3900,23400,197.10000000000002,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-272.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,197.10000000000002,163.02,34.08,42.89999999999998,1.2,5,1.0
38,25,13000000000,5,5,100,0.004,0.001,0.1,3900,27300,197.10000000000002,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-482.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-167.10000000000002,1.2,5,1.0
39,50,13000000000,5,5,100,0.004,0.001,0.1,3900,27300,197.10000000000002,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-452.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-137.10000000000002,1.2,5,1.0
41,100,13000000000,5,5,100,0.004,0.001,0.1,3900,27300,197.10000000000002,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-392.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-77.10000000000002,1.2,5,1.0
40,75,13000000000,5,5,100,0.004,0.001,0.1,3900,27300,197.10000000000002,163.02000000000004,34.08,-107.10000000000002,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-107.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-422.2800000000001,1.2,5,1.0,197.10000000000002,163.02000000000004,34.08,-107.10000000000002,1.2,5,1.0,197.10000000000002,163.02,34.08,-107.10000000000002,1.2,5,1.0
