computation_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
14000,97.33333333333334,250.28571428571428,1.0695970695970696,97.33333333333334,0.0,1.0,4.0,505.99072039072036,641.1521367521368,3.5296703296703296,417.9771428571429,88.01357753357755,4.0,1.0,1517.209181929182,-370.06632478632474,3.5296703296703296,1394.184126984127,123.02505494505496,4.0,1.0,505.99072039072036,641.1521367521368,3.5296703296703296,417.9771428571429,88.01357753357755,4.0,1.0,505.99072039072036,641.1521367521368,3.5296703296703296,417.97714285714284,88.01357753357755,4.0,1.0,91.0,234.0,91.0,0.0,132.89,192.11,112.45,20.439999999999998,427.8,-102.79999999999998,398.31999999999994,29.479999999999997,132.89,192.11,112.45,20.439999999999998,132.89,192.11,112.45,20.439999999999998
16000,108.33333333333334,278.57142857142856,1.1904761904761905,108.33333333333334,0.0,1.0,4.0,547.7167277167276,699.3070818070818,3.8369963369963367,453.3095238095238,94.40720390720392,4.0,1.0,1648.7570207570209,-401.7332112332112,3.8369963369963367,1517.1031746031747,131.65384615384616,4.0,1.0,547.7167277167276,699.3070818070818,3.8369963369963367,453.3095238095238,94.40720390720392,4.0,1.0,547.7167277167276,699.3070818070818,3.8369963369963367,453.3095238095238,94.40720390720392,4.0,1.0,91.0,234.0,91.0,0.0,132.89,192.11,112.45,20.44,427.8,-102.8,398.32000000000005,29.480000000000004,132.89,192.11,112.45,20.44,132.89000000000001,192.11,112.45,20.44
18000,117.0,300.85714285714283,1.2857142857142858,117.0,0.0,1.0,4.0,575.0671550671551,742.51221001221,4.054090354090354,484.0631746031746,91.00398046398047,3.8857142857142857,1.022857142857143,1744.0169963369963,-426.4376312576313,4.054090354090354,1604.4752380952382,139.54175824175826,3.8857142857142857,1.022857142857143,576.6945054945055,741.5197802197802,4.056043956043956,478.1457142857143,98.54879120879122,4.0,1.0,576.6945054945054,741.5197802197802,4.056043956043956,478.1457142857143,98.54879120879122,4.0,1.0,91.0,234.0,91.0,0.0,132.6557142857143,192.34428571428572,113.56428571428572,19.091428571428573,428.25714285714287,-103.25714285714288,398.32000000000005,29.93714285714286,132.89000000000001,192.10999999999999,112.45,20.44,132.89000000000001,192.11,112.45,20.44
20000,125.0,321.42857142857144,1.3736263736263736,125.0,0.0,1.0,4.0,578.3625263625264,785.0881103023961,4.19417883703598,481.7005772005772,96.66194916194917,3.7506493506493506,1.0675324675324676,1817.2161172161173,-449.1605616605617,4.2094017094017095,1682.547619047619,134.66849816849816,3.7714285714285714,1.0571428571428572,602.1416361416361,781.7869352869352,4.258241758241758,507.26190476190476,94.8797313797314,3.8857142857142857,1.022857142857143,603.4432234432235,780.4853479853481,4.258241758241758,501.07142857142856,102.37179487179489,4.0,1.0,91.00000000000001,234.00000000000003,91.00000000000001,0.0,129.96844155844158,195.03155844155842,110.1809090909091,19.78753246753247,429.7085714285714,-104.70857142857143,401.14285714285717,28.56571428571429,132.6557142857143,192.34428571428572,113.56428571428572,19.091428571428573,132.89000000000001,192.11,112.45,20.44
22000,130.66666666666666,336.0,1.435897435897436,130.66666666666666,0.0,1.0,4.0,592.0685717060718,812.7285161267304,4.321040071040071,493.2613455988456,98.80722610722611,3.735064935064935,1.0753246753246752,1877.2331807081807,-464.2371489621489,4.347680097680097,1738.4361111111111,138.7970695970696,3.7714285714285714,1.0571428571428572,605.3313644688644,811.6329212454212,4.35989010989011,505.78154761904767,99.54981684981686,3.8,1.0485714285714285,615.5615231990232,801.4027625152625,4.35989010989011,511.6625,103.89902319902322,4.0,1.0,91.0,234.0,91.0,0.0,129.56012987012988,195.43987012987014,109.81623376623376,19.743896103896105,429.7085714285714,-104.70857142857143,401.14285714285717,28.56571428571429,131.04857142857145,193.95142857142858,111.39142857142856,19.65714285714286,132.89000000000001,192.11,112.45,20.44
24000,134.0,344.57142857142856,1.4725274725274724,134.0,0.0,1.0,4.0,578.0544094794095,828.8306499056498,4.326427540713255,482.2621572871573,95.79225219225219,3.6467532467532466,1.1099567099567098,1888.687163630021,-470.8348770277342,4.364001078286792,1745.63149866007,143.0556649699507,3.748051948051948,1.062987012987013,611.6634768009768,823.1579517704517,4.414835164835165,511.3529761904762,100.31050061050061,3.8,1.0485714285714285,621.8936355311355,812.9277930402931,4.414835164835165,517.2339285714286,104.65970695970697,4.0,1.0,91.0,234.0,91.0,0.0,127.05064935064935,197.94935064935066,107.80545454545454,19.245194805194807,430.63454545454545,-105.63454545454546,401.207012987013,29.42753246753247,131.04857142857145,193.95142857142858,111.39142857142856,19.65714285714286,132.89000000000001,192.11,112.45,20.44
26000,135.0,347.14285714285717,1.4835164835164836,135.0,0.0,1.0,4.0,575.6651820401821,834.5868674975818,4.337701980559124,480.5472222222222,95.11795981795981,3.625974025974026,1.1168831168831168,1897.3655079047937,-474.00087650444794,4.380377558948988,1752.6915326736755,144.6739752311181,3.735064935064935,1.0662337662337662,613.5631105006105,826.6154609279608,4.431318681318682,513.0244047619047,100.53870573870574,3.8,1.0485714285714285,623.7932692307693,816.3853021978023,4.431318681318682,518.9053571428572,104.8879120879121,4.0,1.0,91.0,234.0,91.0,0.0,126.43506493506493,198.56493506493507,107.33948051948052,19.095584415584415,430.8864935064935,-105.88649350649351,401.27454545454543,29.61194805194805,131.04857142857142,193.95142857142858,111.39142857142856,19.65714285714286,132.89000000000001,192.11,112.45,20.44
